customer_id,tower_id,region_customer,plan,monthly_revenue,data_usage_gb,complaint_count,region_tower,technology,tower_health_score,tower_status,problem_indicators,failure_probability,risk_category,recommended_action,network_region,potentially_affected,revenue_at_risk,high_value_customer,high_value_at_risk
C00091,T1291,West,Premium,799,23.53,2,West,5G,78.66,Warning,No Major Issue,11.6,LOW,Normal monitoring,West,False,0,True,False
C00092,T1157,Central,Premium,799,34.7,0,Central,4G,79.71,Warning,No Major Issue,28.94,MEDIUM,Increase monitoring frequency,Central,False,0,True,False
C00093,T1441,East,Standard,499,33.02,4,East,4G,79.18,Warning,No Major Issue,24.71,LOW,Normal monitoring,East,False,0,False,False
C00094,T1010,East,Basic,299,21.31,0,East,5G,79.06,Warning,No Major Issue,19.14,LOW,Normal monitoring,East,False,0,False,False
C00095,T1201,Central,Unlimited,1199,40.69,1,Central,5G,78.73,Warning,No Major Issue,21.54,LOW,Normal monitoring,Central,False,0,True,False
C00096,T1234,East,Unlimited,1199,36.34,3,East,5G,78.4,Warning,No Major Issue,18.8,LOW,Normal monitoring,East,False,0,True,False
C00097,T1388,East,Standard,499,23.91,1,East,5G,79.38,Warning,No Major Issue,36.54,MEDIUM,Increase monitoring frequency,East,False,0,False,False
C00098,T1171,Central,Premium,799,36.83,0,Central,4G,78.79,Warning,No Major Issue,23.17,LOW,Normal monitoring,Central,False,0,True,False
C00099,T1004,South,Standard,499,30.95,2,South,5G,78.82,Warning,No Major Issue,25.38,MEDIUM,Increase monitoring frequency,South,False,0,False,False
C00100,T1082,Central,Premium,799,3.41,1,Central,4G,78.96,Warning,No Major Issue,28.07,MEDIUM,Increase monitoring frequency,Central,False,0,True,False
C00101,T1424,South,Basic,299,4.28,0,South,5G,78.17,Warning,No Major Issue,14.35,LOW,Normal monitoring,South,False,0,False,False
C00102,T1037,South,Unlimited,1199,19.58,2,South,5G,50.65,Critical,No Major Issue,100.0,CRITICAL,Immediate technician inspection,South,True,1199,True,True
C00103,T1194,Central,Premium,799,52.03,0,Central,5G,78.71,Warning,No Major Issue,29.36,MEDIUM,Increase monitoring frequency,Central,False,0,True,False
C00104,T1130,South,Standard,499,11.17,1,South,5G,78.85,Warning,No Major Issue,32.74,MEDIUM,Increase monitoring frequency,South,False,0,False,False
C00105,T1460,Central,Unlimited,1199,46.32,4,Central,5G,79.12,Warning,No Major Issue,24.06,LOW,Normal monitoring,Central,False,0,True,False
C00106,T1094,Central,Premium,799,36.5,2,Central,5G,78.96,Warning,No Major Issue,26.03,MEDIUM,Increase monitoring frequency,Central,False,0,True,False
C00107,T1054,West,Unlimited,1199,17.41,0,West,5G,78.89,Warning,No Major Issue,60.2,HIGH,Schedule preventive maintenance,West,True,1199,True,True
C00108,T1275,Central,Premium,799,26.99,1,Central,4G,79.05,Warning,No Major Issue,32.8,MEDIUM,Increase monitoring frequency,Central,False,0,True,False
C00109,T1094,Central,Basic,299,25.39,1,Central,5G,78.96,Warning,No Major Issue,26.03,MEDIUM,Increase monitoring frequency,Central,False,0,False,False
C00110,T1321,East,Standard,499,43.25,3,East,5G,79.13,Warning,No Major Issue,42.34,MEDIUM,Increase monitoring frequency,East,False,0,False,False
C00111,T1338,West,Standard,499,28.53,1,West,4G,78.83,Warning,No Major Issue,23.63,LOW,Normal monitoring,West,False,0,False,False
C00112,T1112,North,Standard,499,15.68,1,North,4G,79.36,Warning,No Major Issue,27.04,MEDIUM,Increase monitoring frequency,North,False,0,False,False
C00113,T1157,Central,Premium,799,21.68,3,Central,4G,79.71,Warning,No Major Issue,28.94,MEDIUM,Increase monitoring frequency,Central,False,0,True,False
C00114,T1438,West,Basic,299,27.0,0,West,4G,78.93,Warning,No Major Issue,19.69,LOW,Normal monitoring,West,False,0,False,False
C00115,T1035,South,Basic,299,21.59,1,South,4G,80.18,Healthy,No Major Issue,27.07,MEDIUM,Increase monitoring frequency,South,False,0,False,False
C00116,T1377,Central,Basic,299,33.45,4,Central,5G,78.82,Warning,No Major Issue,13.58,LOW,Normal monitoring,Central,False,0,False,False
C00117,T1292,South,Basic,299,11.56,0,South,4G,78.38,Warning,No Major Issue,27.67,MEDIUM,Increase monitoring frequency,South,False,0,False,False
C00118,T1329,South,Unlimited,1199,29.74,3,South,5G,78.74,Warning,No Major Issue,24.1,LOW,Normal monitoring,South,False,0,True,False
C00119,T1429,North,Basic,299,49.34,1,North,5G,79.36,Warning,No Major Issue,18.04,LOW,Normal monitoring,North,False,0,False,False
C00120,T1182,West,Standard,499,38.77,0,West,5G,79.92,Warning,No Major Issue,22.33,LOW,Normal monitoring,West,False,0,False,False
C00121,T1002,South,Unlimited,1199,19.08,0,South,4G,78.69,Warning,No Major Issue,26.54,MEDIUM,Increase monitoring frequency,South,False,0,True,False
C00122,T1261,North,Premium,799,13.68,0,North,5G,79.45,Warning,No Major Issue,81.21,CRITICAL,Immediate technician inspection,North,True,799,True,True
C00123,T1124,East,Basic,299,18.01,2,East,5G,79.03,Warning,No Major Issue,58.21,HIGH,Schedule preventive maintenance,East,True,299,False,False
C00124,T1077,East,Basic,299,33.82,1,East,5G,79.68,Warning,No Major Issue,78.8,CRITICAL,Immediate technician inspection,East,True,299,False,False
C00125,T1045,West,Unlimited,1199,4.84,1,West,4G,78.67,Warning,No Major Issue,14.9,LOW,Normal monitoring,West,False,0,True,False
C00126,T1201,Central,Unlimited,1199,37.12,0,Central,5G,78.73,Warning,No Major Issue,21.54,LOW,Normal monitoring,Central,False,0,True,False
C00127,T1112,North,Standard,499,34.27,2,North,4G,79.36,Warning,No Major Issue,27.04,MEDIUM,Increase monitoring frequency,North,False,0,False,False
C00128,T1315,West,Basic,299,22.87,2,West,5G,78.06,Warning,No Major Issue,45.37,MEDIUM,Increase monitoring frequency,West,False,0,False,False
C00129,T1144,East,Premium,799,38.93,0,East,5G,78.46,Warning,No Major Issue,20.18,LOW,Normal monitoring,East,False,0,True,False
C00130,T1490,East,Unlimited,1199,34.6,2,East,4G,79.51,Warning,No Major Issue,46.61,MEDIUM,Increase monitoring frequency,East,False,0,True,False
C00131,T1171,Central,Unlimited,1199,13.34,2,Central,4G,78.79,Warning,No Major Issue,23.17,LOW,Normal monitoring,Central,False,0,True,False
C00132,T1165,East,Standard,499,0.0,2,East,4G,78.29,Warning,No Major Issue,28.08,MEDIUM,Increase monitoring frequency,East,False,0,False,False
C00133,T1044,North,Standard,499,16.5,0,North,4G,79.28,Warning,No Major Issue,27.92,MEDIUM,Increase monitoring frequency,North,False,0,False,False
C00134,T1303,North,Unlimited,1199,15.98,0,North,4G,78.92,Warning,No Major Issue,35.63,MEDIUM,Increase monitoring frequency,North,False,0,True,False
C00135,T1159,North,Standard,499,20.86,1,North,5G,78.88,Warning,No Major Issue,76.88,CRITICAL,Immediate technician inspection,North,True,499,False,False
C00136,T1202,East,Basic,299,34.68,1,East,5G,78.96,Warning,No Major Issue,29.95,MEDIUM,Increase monitoring frequency,East,False,0,False,False
C00137,T1118,North,Standard,499,14.5,1,North,4G,78.61,Warning,No Major Issue,9.23,LOW,Normal monitoring,North,False,0,False,False
C00138,T1214,South,Standard,499,43.01,1,South,5G,51.63,Critical,No Major Issue,100.0,CRITICAL,Immediate technician inspection,South,True,499,False,False
C00139,T1452,West,Standard,499,39.96,1,West,5G,78.9,Warning,No Major Issue,18.18,LOW,Normal monitoring,West,False,0,False,False
C00140,T1234,East,Premium,799,48.15,1,East,5G,78.4,Warning,No Major Issue,18.8,LOW,Normal monitoring,East,False,0,True,False
C00141,T1181,West,Standard,499,36.96,0,West,4G,78.79,Warning,No Major Issue,53.85,HIGH,Schedule preventive maintenance,West,True,499,False,False
C00142,T1039,West,Premium,799,38.5,0,West,5G,78.76,Warning,No Major Issue,28.0,MEDIUM,Increase monitoring frequency,West,False,0,True,False
C00143,T1236,East,Unlimited,1199,18.01,2,East,4G,77.96,Warning,No Major Issue,18.38,LOW,Normal monitoring,East,False,0,True,False
C00144,T1455,West,Basic,299,22.01,1,West,4G,78.56,Warning,No Major Issue,18.74,LOW,Normal monitoring,West,False,0,False,False
C00145,T1355,South,Standard,499,46.97,0,South,5G,78.73,Warning,No Major Issue,20.49,LOW,Normal monitoring,South,False,0,False,False
C00146,T1000,North,Unlimited,1199,19.6,0,North,4G,78.54,Warning,No Major Issue,31.21,MEDIUM,Increase monitoring frequency,North,False,0,True,False
C00147,T1058,Central,Basic,299,12.62,0,Central,4G,79.03,Warning,No Major Issue,16.61,LOW,Normal monitoring,Central,False,0,False,False
C00148,T1410,West,Premium,799,19.82,0,West,4G,79.09,Warning,No Major Issue,37.91,MEDIUM,Increase monitoring frequency,West,False,0,True,False
C00149,T1431,Central,Standard,499,28.1,0,Central,4G,79.08,Warning,No Major Issue,25.1,MEDIUM,Increase monitoring frequency,Central,False,0,False,False
C00150,T1115,North,Basic,299,34.19,1,North,4G,78.43,Warning,No Major Issue,20.14,LOW,Normal monitoring,North,False,0,False,False
C00151,T1092,West,Standard,499,16.16,0,West,4G,78.4,Warning,No Major Issue,19.91,LOW,Normal monitoring,West,False,0,False,False
C00152,T1220,South,Standard,499,27.02,2,South,4G,77.78,Warning,No Major Issue,81.76,CRITICAL,Immediate technician inspection,South,True,499,False,False
C00153,T1050,North,Standard,499,21.33,2,North,4G,78.7,Warning,No Major Issue,12.04,LOW,Normal monitoring,North,False,0,False,False
C00154,T1034,North,Premium,799,20.52,0,North,4G,77.83,Warning,No Major Issue,17.3,LOW,Normal monitoring,North,False,0,True,False
C00155,T1464,South,Basic,299,36.04,0,South,5G,77.78,Warning,No Major Issue,24.6,LOW,Normal monitoring,South,False,0,False,False
C00156,T1267,East,Unlimited,1199,42.63,3,East,5G,79.06,Warning,No Major Issue,17.19,LOW,Normal monitoring,East,False,0,True,False
C00157,T1370,West,Basic,299,24.61,1,West,5G,78.98,Warning,No Major Issue,29.28,MEDIUM,Increase monitoring frequency,West,False,0,False,False
C00158,T1351,East,Premium,799,19.86,0,East,5G,79.14,Warning,No Major Issue,35.18,MEDIUM,Increase monitoring frequency,East,False,0,True,False
C00159,T1289,Central,Basic,299,36.94,4,Central,4G,78.71,Warning,No Major Issue,24.34,LOW,Normal monitoring,Central,False,0,False,False
C00160,T1222,Central,Basic,299,35.24,0,Central,5G,79.11,Warning,No Major Issue,32.84,MEDIUM,Increase monitoring frequency,Central,False,0,False,False
C00161,T1395,Central,Basic,299,13.93,2,Central,4G,78.9,Warning,No Major Issue,78.18,CRITICAL,Immediate technician inspection,Central,True,299,False,False
C00162,T1257,Central,Unlimited,1199,24.24,2,Central,5G,79.41,Warning,No Major Issue,22.44,LOW,Normal monitoring,Central,False,0,True,False
C00163,T1108,South,Premium,799,27.24,0,South,4G,79.3,Warning,No Major Issue,41.54,MEDIUM,Increase monitoring frequency,South,False,0,True,False
C00164,T1170,West,Basic,299,24.13,1,West,4G,78.93,Warning,No Major Issue,21.62,LOW,Normal monitoring,West,False,0,False,False
C00165,T1373,Central,Premium,799,24.82,0,Central,5G,78.49,Warning,No Major Issue,83.98,CRITICAL,Immediate technician inspection,Central,True,799,True,True
C00166,T1291,West,Unlimited,1199,20.29,0,West,5G,78.66,Warning,No Major Issue,11.6,LOW,Normal monitoring,West,False,0,True,False
C00167,T1353,West,Unlimited,1199,34.47,1,West,5G,78.87,Warning,No Major Issue,73.46,HIGH,Schedule preventive maintenance,West,True,1199,True,True
C00168,T1085,West,Basic,299,37.31,0,West,5G,79.01,Warning,No Major Issue,53.51,HIGH,Schedule preventive maintenance,West,True,299,False,False
C00169,T1195,North,Basic,299,27.08,3,North,5G,78.64,Warning,No Major Issue,14.45,LOW,Normal monitoring,North,False,0,False,False
C00170,T1362,East,Basic,299,19.08,1,East,5G,79.02,Warning,No Major Issue,28.79,MEDIUM,Increase monitoring frequency,East,False,0,False,False
C00171,T1384,East,Premium,799,7.21,0,East,4G,78.88,Warning,No Major Issue,16.65,LOW,Normal monitoring,East,False,0,True,False
C00172,T1469,Central,Standard,499,37.19,0,Central,4G,78.47,Warning,No Major Issue,12.47,LOW,Normal monitoring,Central,False,0,False,False
C00173,T1245,Central,Standard,499,23.41,1,Central,4G,51.42,Critical,No Major Issue,100.0,CRITICAL,Immediate technician inspection,Central,True,499,False,False
C00174,T1280,South,Unlimited,1199,28.46,2,South,4G,78.72,Warning,No Major Issue,33.75,MEDIUM,Increase monitoring frequency,South,False,0,True,False
C00175,T1311,East,Standard,499,43.26,1,East,4G,79.04,Warning,No Major Issue,17.5,LOW,Normal monitoring,East,False,0,False,False
C00176,T1260,West,Unlimited,1199,35.32,2,West,4G,79.2,Warning,No Major Issue,38.28,MEDIUM,Increase monitoring frequency,West,False,0,True,False
C00177,T1460,Central,Standard,499,10.04,2,Central,5G,79.12,Warning,No Major Issue,24.06,LOW,Normal monitoring,Central,False,0,False,False
C00178,T1411,West,Premium,799,35.99,4,West,5G,78.6,Warning,No Major Issue,27.06,MEDIUM,Increase monitoring frequency,West,False,0,True,False
C00179,T1169,West,Premium,799,30.43,0,West,5G,78.69,Warning,No Major Issue,65.76,HIGH,Schedule preventive maintenance,West,True,799,True,True
C00180,T1443,East,Basic,299,19.3,1,East,5G,79.13,Warning,No Major Issue,13.52,LOW,Normal monitoring,East,False,0,False,False
C00181,T1336,East,Basic,299,20.76,0,East,4G,79.4,Warning,No Major Issue,49.84,MEDIUM,Increase monitoring frequency,East,False,0,False,False
C00182,T1263,Central,Standard,499,30.79,1,Central,4G,78.66,Warning,No Major Issue,19.33,LOW,Normal monitoring,Central,False,0,False,False
C00183,T1086,South,Unlimited,1199,24.35,1,South,4G,78.86,Warning,No Major Issue,25.41,MEDIUM,Increase monitoring frequency,South,False,0,True,False
C00184,T1083,South,Basic,299,24.29,0,South,5G,79.41,Warning,No Major Issue,20.99,LOW,Normal monitoring,South,False,0,False,False
C00185,T1027,North,Standard,499,28.64,0,North,5G,78.45,Warning,No Major Issue,22.57,LOW,Normal monitoring,North,False,0,False,False
C00186,T1282,North,Standard,499,12.32,1,North,5G,78.47,Warning,No Major Issue,7.53,LOW,Normal monitoring,North,False,0,False,False
C00187,T1314,North,Premium,799,27.14,0,North,5G,78.11,Warning,No Major Issue,16.29,LOW,Normal monitoring,North,False,0,True,False
C00188,T1274,North,Standard,499,40.07,0,North,4G,79.29,Warning,No Major Issue,81.37,CRITICAL,Immediate technician inspection,North,True,499,False,False
C00189,T1320,South,Standard,499,4.37,0,South,5G,78.25,Warning,No Major Issue,12.43,LOW,Normal monitoring,South,False,0,False,False
