event_id,timestamp,tower_id,event_type,severity
E00147,2026-01-26 06:00:00,T1251,Connection Failure,Medium
E00148,2026-01-23 06:00:00,T1023,High Latency,Low
E00149,2026-01-09 00:00:00,T1465,Traffic Spike,High
E00150,2026-01-27 18:00:00,T1125,Call Drop,Medium
E00151,2026-01-19 12:00:00,T1064,Connection Failure,Medium
E00152,2026-01-09 18:00:00,T1274,Traffic Spike,Medium
E00153,2026-01-27 00:00:00,T1225,Low Signal,Low
E00154,2026-01-14 00:00:00,T1022,High Latency,Low
E00155,2026-01-13 00:00:00,T1480,Traffic Spike,Low
E00156,2026-01-08 18:00:00,T1122,High Latency,Critical
E00157,2026-01-09 00:00:00,T1401,Low Signal,High
E00158,2026-01-10 12:00:00,T1249,Packet Loss,Low
E00159,2026-01-03 18:00:00,T1224,Packet Loss,Medium
E00160,2026-01-15 18:00:00,T1359,Packet Loss,High
E00161,2026-01-12 18:00:00,T1464,Low Signal,Low
E00162,2026-01-27 00:00:00,T1154,Low Signal,Low
E00163,2026-01-12 18:00:00,T1497,Connection Failure,Low
E00164,2026-01-10 18:00:00,T1076,Call Drop,Low
E00165,2026-01-16 12:00:00,T1087,Packet Loss,Medium
E00166,2026-01-04 18:00:00,T1128,Packet Loss,Low
E00167,2026-01-09 06:00:00,T1362,High Latency,Medium
E00168,2026-01-07 06:00:00,T1069,High CPU,High
E00169,2026-01-26 06:00:00,T1427,High Latency,Low
E00170,2026-01-01 00:00:00,T1402,Connection Failure,Medium
E00171,2026-01-07 06:00:00,T1062,Low Signal,Medium
E00172,2026-01-23 12:00:00,T1148,High CPU,Low
E00173,2026-01-12 18:00:00,T1399,Connection Failure,High
E00174,2026-01-03 12:00:00,T1247,Traffic Spike,High
E00175,2026-01-04 18:00:00,T1136,Low Signal,Medium
E00176,2026-01-01 12:00:00,T1199,Call Drop,Low
E00177,2026-01-27 06:00:00,T1301,High CPU,Low
E00178,2026-01-13 12:00:00,T1050,Call Drop,Low
E00179,2026-01-16 18:00:00,T1205,Traffic Spike,High
E00180,2026-01-12 18:00:00,T1477,Low Signal,Low
E00181,2026-01-28 12:00:00,T1205,Connection Failure,Critical
E00182,2026-01-18 12:00:00,T1023,Packet Loss,Low
E00183,2026-01-24 12:00:00,T1343,Traffic Spike,Medium
E00184,2026-01-14 12:00:00,T1300,Call Drop,High
E00185,2026-01-06 00:00:00,T1474,Connection Failure,Low
E00186,2026-01-19 18:00:00,T1147,High CPU,Low
E00187,2026-01-17 18:00:00,T1285,Packet Loss,Low
E00188,2026-01-24 12:00:00,T1153,Packet Loss,Low
E00189,2026-01-03 12:00:00,T1220,Low Signal,Low
E00190,2026-01-20 06:00:00,T1455,High CPU,High
E00191,2026-01-26 06:00:00,T1239,Low Signal,Medium
E00192,2026-01-22 12:00:00,T1401,High Latency,Low
E00193,2026-01-16 06:00:00,T1409,Call Drop,Low
E00194,2026-01-14 06:00:00,T1491,High CPU,Low
E00195,2026-01-26 00:00:00,T1083,Call Drop,Low
E00196,2026-01-03 06:00:00,T1099,High CPU,High
E00197,2026-01-08 00:00:00,T1122,High Latency,Low
E00198,2026-01-26 12:00:00,T1057,Low Signal,Low
E00199,2026-01-09 12:00:00,T1181,Call Drop,Medium
E00200,2026-01-12 06:00:00,T1163,Low Signal,Low
E00201,2026-01-19 18:00:00,T1078,High Latency,Low
E00202,2026-01-07 18:00:00,T1141,High CPU,Low
E00203,2026-01-12 18:00:00,T1129,Low Signal,Critical
E00204,2026-01-11 00:00:00,T1108,Connection Failure,Critical
E00205,2026-01-18 06:00:00,T1450,Low Signal,Medium
E00206,2026-01-30 00:00:00,T1364,Low Signal,Low
E00207,2026-01-13 18:00:00,T1178,High CPU,Low
E00208,2026-01-08 06:00:00,T1448,Traffic Spike,High
E00209,2026-01-26 12:00:00,T1364,Low Signal,High
E00210,2026-01-14 12:00:00,T1275,High Latency,Low
E00211,2026-01-30 06:00:00,T1273,Call Drop,High
E00212,2026-01-29 00:00:00,T1198,Low Signal,Low
E00213,2026-01-24 00:00:00,T1314,Traffic Spike,High
E00214,2026-01-14 06:00:00,T1376,Call Drop,High
E00215,2026-01-20 12:00:00,T1478,Low Signal,Low
E00216,2026-01-06 06:00:00,T1360,Connection Failure,High
E00217,2026-01-30 12:00:00,T1350,Packet Loss,Low
E00218,2026-01-12 00:00:00,T1440,Connection Failure,Critical
E00219,2026-01-07 18:00:00,T1234,Connection Failure,Medium
E00220,2026-01-20 00:00:00,T1429,High Latency,High
E00221,2026-01-05 18:00:00,T1002,Traffic Spike,Low
E00222,2026-01-02 12:00:00,T1388,Traffic Spike,Medium
E00223,2026-01-28 06:00:00,T1346,Traffic Spike,Low
E00224,2026-01-22 18:00:00,T1276,Packet Loss,Low
E00225,2026-01-04 12:00:00,T1065,Low Signal,Low
E00226,2026-01-21 12:00:00,T1021,Call Drop,Medium
E00227,2026-01-06 12:00:00,T1195,Traffic Spike,Critical
E00228,2026-01-14 06:00:00,T1138,Packet Loss,Low
E00229,2026-01-11 18:00:00,T1200,Connection Failure,Low
E00230,2026-01-08 06:00:00,T1405,Low Signal,Low
E00231,2026-01-05 12:00:00,T1267,Packet Loss,Medium
E00232,2026-01-05 12:00:00,T1196,Packet Loss,Medium
E00233,2026-01-09 00:00:00,T1046,Packet Loss,Low
E00234,2026-01-11 12:00:00,T1253,Traffic Spike,Medium
E00235,2026-01-27 12:00:00,T1269,High Latency,Medium
E00236,2026-01-06 00:00:00,T1457,Packet Loss,High
E00237,2026-01-10 06:00:00,T1270,Traffic Spike,High
E00238,2026-01-16 12:00:00,T1025,Call Drop,Low
E00239,2026-01-24 06:00:00,T1488,Low Signal,High
E00240,2026-01-06 00:00:00,T1482,Traffic Spike,Medium
E00241,2026-01-29 18:00:00,T1481,High Latency,Low
E00242,2026-01-01 12:00:00,T1138,Traffic Spike,Low
E00243,2026-01-30 00:00:00,T1012,Connection Failure,Low
E00244,2026-01-18 06:00:00,T1342,Packet Loss,Medium
E00245,2026-01-23 06:00:00,T1359,Packet Loss,Medium
E00246,2026-01-16 06:00:00,T1250,Connection Failure,Low
E00247,2026-01-09 18:00:00,T1175,Connection Failure,Low
E00248,2026-01-15 12:00:00,T1065,Connection Failure,High
E00249,2026-01-11 12:00:00,T1172,High CPU,High
E00250,2026-01-15 00:00:00,T1147,Packet Loss,High
E00251,2026-01-14 00:00:00,T1208,Call Drop,High
E00252,2026-01-19 06:00:00,T1126,Traffic Spike,Medium
E00253,2026-01-28 06:00:00,T1381,High CPU,Low
E00254,2026-01-23 00:00:00,T1236,Traffic Spike,Low
E00255,2026-01-12 00:00:00,T1035,Low Signal,Low
E00256,2026-01-09 06:00:00,T1452,Low Signal,Low
E00257,2026-01-14 06:00:00,T1025,Connection Failure,Medium
E00258,2026-01-18 12:00:00,T1379,High CPU,Low
E00259,2026-01-26 18:00:00,T1147,Connection Failure,Low
E00260,2026-01-29 00:00:00,T1360,Traffic Spike,Low
E00261,2026-01-20 00:00:00,T1442,Packet Loss,Low
E00262,2026-01-23 00:00:00,T1057,Packet Loss,Critical
E00263,2026-01-20 06:00:00,T1177,High CPU,Medium
E00264,2026-01-11 18:00:00,T1185,Low Signal,High
E00265,2026-01-10 06:00:00,T1485,High Latency,Medium
E00266,2026-01-14 06:00:00,T1045,Packet Loss,Low
E00267,2026-01-23 18:00:00,T1474,Traffic Spike,Medium
E00268,2026-01-11 00:00:00,T1344,High Latency,Low
E00269,2026-01-27 12:00:00,T1141,Packet Loss,Low
E00270,2026-01-07 18:00:00,T1448,Call Drop,Low
E00271,2026-01-27 06:00:00,T1107,Low Signal,Medium
E00272,2026-01-26 18:00:00,T1413,High CPU,Low
E00273,2026-01-06 00:00:00,T1075,Low Signal,Low
E00274,2026-01-05 06:00:00,T1322,Connection Failure,Low
E00275,2026-01-08 12:00:00,T1256,Packet Loss,Low
E00276,2026-01-28 18:00:00,T1024,High CPU,Low
E00277,2026-01-04 00:00:00,T1246,High CPU,High
E00278,2026-01-18 12:00:00,T1096,Packet Loss,Low
E00279,2026-01-19 00:00:00,T1022,High Latency,Medium
E00280,2026-01-21 06:00:00,T1108,Call Drop,Medium
E00281,2026-01-14 18:00:00,T1440,Connection Failure,High
E00282,2026-01-13 12:00:00,T1145,High CPU,Low
E00283,2026-01-06 12:00:00,T1245,Connection Failure,Medium
E00284,2026-01-10 12:00:00,T1123,Traffic Spike,Low
E00285,2026-01-08 06:00:00,T1110,Low Signal,Low
E00286,2026-01-12 18:00:00,T1193,Traffic Spike,High
E00287,2026-01-27 00:00:00,T1145,Call Drop,Low
E00288,2026-01-24 06:00:00,T1210,Call Drop,Low
E00289,2026-01-16 06:00:00,T1160,Call Drop,Critical
E00290,2026-01-03 12:00:00,T1387,High Latency,Medium
E00291,2026-01-16 18:00:00,T1431,High CPU,Medium
E00292,2026-01-23 12:00:00,T1183,High CPU,Low
E00293,2026-01-14 00:00:00,T1404,High Latency,Medium
E00294,2026-01-30 06:00:00,T1327,Low Signal,Low
E00295,2026-01-11 06:00:00,T1380,Packet Loss,Medium
E00296,2026-01-24 12:00:00,T1202,High CPU,Low
E00297,2026-01-03 00:00:00,T1071,High CPU,Low
E00298,2026-01-29 06:00:00,T1497,Call Drop,Low
E00299,2026-01-11 12:00:00,T1135,Connection Failure,High
E00300,2026-01-12 06:00:00,T1324,Connection Failure,Medium
E00301,2026-01-16 18:00:00,T1117,Connection Failure,Low
E00302,2026-01-10 06:00:00,T1035,Connection Failure,Low
E00303,2026-01-06 18:00:00,T1029,High Latency,Medium
E00304,2026-01-26 18:00:00,T1112,Packet Loss,Low
E00305,2026-01-05 00:00:00,T1286,High Latency,Medium
E00306,2026-01-12 06:00:00,T1102,Call Drop,High
E00307,2026-01-07 06:00:00,T1343,Packet Loss,Medium
E00308,2026-01-02 00:00:00,T1189,Low Signal,Critical
E00309,2026-01-30 12:00:00,T1341,High CPU,Low
E00310,2026-01-18 12:00:00,T1068,High Latency,Low
E00311,2026-01-22 12:00:00,T1221,Packet Loss,Medium
E00312,2026-01-18 18:00:00,T1471,High CPU,High
E00313,2026-01-22 12:00:00,T1337,Traffic Spike,Low
E00314,2026-01-22 00:00:00,T1234,High Latency,Critical
E00315,2026-01-17 06:00:00,T1224,Call Drop,Low
E00316,2026-01-13 18:00:00,T1220,High CPU,Low
E00317,2026-01-08 18:00:00,T1287,Low Signal,High
E00318,2026-01-19 12:00:00,T1348,Packet Loss,Medium
E00319,2026-01-06 12:00:00,T1258,Low Signal,Low
E00320,2026-01-11 06:00:00,T1167,Call Drop,Medium
E00321,2026-01-06 18:00:00,T1218,Traffic Spike,Low
E00322,2026-01-19 06:00:00,T1194,Packet Loss,High
E00323,2026-01-05 12:00:00,T1398,Connection Failure,Medium
E00324,2026-01-16 06:00:00,T1081,Low Signal,High
E00325,2026-01-27 18:00:00,T1367,High CPU,High
E00326,2026-01-23 06:00:00,T1310,Connection Failure,Critical
E00327,2026-01-22 12:00:00,T1372,Connection Failure,Low
E00328,2026-01-22 06:00:00,T1399,Call Drop,Medium
E00329,2026-01-29 18:00:00,T1448,Connection Failure,Low
E00330,2026-01-12 00:00:00,T1023,Call Drop,Medium
E00331,2026-01-13 00:00:00,T1380,High CPU,Low
E00332,2026-01-28 18:00:00,T1193,Packet Loss,Medium
E00333,2026-01-13 18:00:00,T1281,High CPU,Critical
E00334,2026-01-09 12:00:00,T1139,High Latency,Medium
E00335,2026-01-30 12:00:00,T1348,High Latency,Medium
E00336,2026-01-20 12:00:00,T1218,Connection Failure,High
E00337,2026-01-22 12:00:00,T1117,Call Drop,Low
E00338,2026-01-18 06:00:00,T1287,Low Signal,Medium
E00339,2026-01-04 06:00:00,T1444,High CPU,Low
E00340,2026-01-19 06:00:00,T1202,Call Drop,Low
E00341,2026-01-03 06:00:00,T1299,Low Signal,High
E00342,2026-01-07 18:00:00,T1470,Connection Failure,Medium
E00343,2026-01-08 00:00:00,T1401,High Latency,Medium
E00344,2026-01-06 06:00:00,T1448,Traffic Spike,Low
E00345,2026-01-07 00:00:00,T1197,High CPU,Medium
E00346,2026-01-01 00:00:00,T1092,Low Signal,Low
E00347,2026-01-04 12:00:00,T1296,Packet Loss,Low
E00348,2026-01-07 06:00:00,T1475,Traffic Spike,High
E00349,2026-01-25 06:00:00,T1326,Low Signal,Low
E00350,2026-01-01 06:00:00,T1393,High Latency,Low
E00351,2026-01-06 06:00:00,T1023,High Latency,Medium
E00352,2026-01-14 18:00:00,T1468,Packet Loss,Low
E00353,2026-01-06 12:00:00,T1057,High CPU,Low
E00354,2026-01-08 00:00:00,T1434,Low Signal,Medium
E00355,2026-01-21 12:00:00,T1248,Connection Failure,High
E00356,2026-01-23 00:00:00,T1357,High Latency,Medium
E00357,2026-01-04 00:00:00,T1353,Connection Failure,Low
E00358,2026-01-27 06:00:00,T1175,Traffic Spike,Medium
E00359,2026-01-10 12:00:00,T1480,High CPU,Low
E00360,2026-01-26 18:00:00,T1111,High Latency,Low
E00361,2026-01-11 12:00:00,T1037,Low Signal,Low
E00362,2026-01-20 00:00:00,T1222,High Latency,Low
E00363,2026-01-02 18:00:00,T1320,High Latency,Low
E00364,2026-01-18 06:00:00,T1072,High Latency,High
E00365,2026-01-02 06:00:00,T1027,Low Signal,Critical
E00366,2026-01-17 00:00:00,T1368,Traffic Spike,High
E00367,2026-01-24 06:00:00,T1477,Call Drop,Medium
E00368,2026-01-21 00:00:00,T1290,Packet Loss,High
E00369,2026-01-04 18:00:00,T1085,Low Signal,Medium
E00370,2026-01-12 06:00:00,T1012,Packet Loss,Low
E00371,2026-01-18 06:00:00,T1038,Packet Loss,Medium
E00372,2026-01-12 06:00:00,T1386,Low Signal,Low
E00373,2026-01-12 06:00:00,T1082,Low Signal,High
E00374,2026-01-06 00:00:00,T1452,Packet Loss,Low
E00375,2026-01-15 12:00:00,T1223,Low Signal,Low
E00376,2026-01-29 06:00:00,T1270,Packet Loss,High
E00377,2026-01-22 00:00:00,T1252,High Latency,Medium
E00378,2026-01-13 18:00:00,T1042,High CPU,Low
E00379,2026-01-14 18:00:00,T1411,Traffic Spike,High
E00380,2026-01-14 06:00:00,T1274,High CPU,Low
E00381,2026-01-04 12:00:00,T1163,Packet Loss,Medium
E00382,2026-01-09 06:00:00,T1447,Connection Failure,Low
E00383,2026-01-01 06:00:00,T1399,Packet Loss,Low
E00384,2026-01-10 00:00:00,T1293,Connection Failure,Medium
E00385,2026-01-11 06:00:00,T1476,Low Signal,High
E00386,2026-01-22 00:00:00,T1144,Call Drop,Medium
E00387,2026-01-20 12:00:00,T1039,Traffic Spike,Low
E00388,2026-01-11 00:00:00,T1340,Connection Failure,Low
E00389,2026-01-01 12:00:00,T1163,High CPU,Low
E00390,2026-01-10 18:00:00,T1280,Connection Failure,Low
E00391,2026-01-26 18:00:00,T1119,High CPU,Low
E00392,2026-01-20 18:00:00,T1231,High Latency,Medium
E00393,2026-01-21 06:00:00,T1286,High Latency,Medium
E00394,2026-01-09 12:00:00,T1201,Traffic Spike,Low
E00395,2026-01-17 06:00:00,T1478,Call Drop,Low
E00396,2026-01-01 00:00:00,T1458,Connection Failure,High
E00397,2026-01-06 18:00:00,T1226,Low Signal,Medium
E00398,2026-01-08 06:00:00,T1226,High CPU,Low
E00399,2026-01-04 06:00:00,T1013,Packet Loss,Low
E00400,2026-01-03 06:00:00,T1055,High Latency,High
E00401,2026-01-01 18:00:00,T1130,Packet Loss,High
E00402,2026-01-01 00:00:00,T1273,High CPU,Medium
E00403,2026-01-01 06:00:00,T1186,Call Drop,Low
E00404,2026-01-03 00:00:00,T1161,Low Signal,Low
E00405,2026-01-27 12:00:00,T1365,Traffic Spike,Critical
E00406,2026-01-03 00:00:00,T1410,Connection Failure,Low
E00407,2026-01-09 12:00:00,T1201,Traffic Spike,High
E00408,2026-01-14 18:00:00,T1290,Packet Loss,Medium
E00409,2026-01-06 12:00:00,T1045,Traffic Spike,Low
E00410,2026-01-22 00:00:00,T1377,Call Drop,Medium
E00411,2026-01-22 00:00:00,T1278,Packet Loss,Medium
E00412,2026-01-17 00:00:00,T1336,High CPU,Low
E00413,2026-01-04 12:00:00,T1063,Traffic Spike,High
E00414,2026-01-14 18:00:00,T1357,Traffic Spike,Medium
E00415,2026-01-15 18:00:00,T1237,High Latency,Medium
E00416,2026-01-05 12:00:00,T1173,High CPU,Low
E00417,2026-01-04 18:00:00,T1014,High Latency,Medium
E00418,2026-01-04 18:00:00,T1404,Connection Failure,Low
E00419,2026-01-30 18:00:00,T1038,Traffic Spike,High
E00420,2026-01-26 00:00:00,T1388,Packet Loss,High
E00421,2026-01-07 00:00:00,T1340,Call Drop,Medium
E00422,2026-01-08 12:00:00,T1179,Connection Failure,Medium
E00423,2026-01-15 18:00:00,T1083,Low Signal,Low
E00424,2026-01-07 06:00:00,T1441,High Latency,Medium
E00425,2026-01-21 06:00:00,T1180,High CPU,Low
E00426,2026-01-18 18:00:00,T1288,Traffic Spike,Low
E00427,2026-01-17 18:00:00,T1362,Packet Loss,Critical
E00428,2026-01-06 06:00:00,T1490,Packet Loss,Medium
E00429,2026-01-23 18:00:00,T1173,Low Signal,Medium
E00430,2026-01-23 12:00:00,T1083,High Latency,High
E00431,2026-01-08 18:00:00,T1313,Low Signal,Low
E00432,2026-01-20 12:00:00,T1365,Traffic Spike,Low
E00433,2026-01-10 12:00:00,T1273,Packet Loss,Medium
E00434,2026-01-19 06:00:00,T1127,Call Drop,Medium
E00435,2026-01-26 12:00:00,T1201,Packet Loss,Medium
E00436,2026-01-03 18:00:00,T1308,Low Signal,Low
E00437,2026-01-26 06:00:00,T1085,Connection Failure,Low
E00438,2026-01-28 06:00:00,T1498,Traffic Spike,Low
E00439,2026-01-29 00:00:00,T1159,Connection Failure,Medium
E00440,2026-01-28 00:00:00,T1028,Connection Failure,Low
E00441,2026-01-09 00:00:00,T1125,High Latency,Low
E00442,2026-01-05 00:00:00,T1449,Call Drop,Low
E00443,2026-01-09 12:00:00,T1100,Packet Loss,Critical
E00444,2026-01-07 18:00:00,T1212,Packet Loss,Medium
E00445,2026-01-18 18:00:00,T1270,Packet Loss,High
E00446,2026-01-12 18:00:00,T1099,High Latency,Low
E00447,2026-01-12 12:00:00,T1136,Traffic Spike,Medium
E00448,2026-01-30 12:00:00,T1378,Packet Loss,Low
E00449,2026-01-30 06:00:00,T1148,High Latency,Low
E00450,2026-01-11 12:00:00,T1239,High CPU,Low
E00451,2026-01-11 18:00:00,T1290,Low Signal,Low
E00452,2026-01-27 00:00:00,T1391,Low Signal,Medium
E00453,2026-01-10 06:00:00,T1367,Traffic Spike,Medium
E00454,2026-01-13 06:00:00,T1153,High CPU,Low
E00455,2026-01-03 06:00:00,T1187,High CPU,Low
E00456,2026-01-14 12:00:00,T1465,Traffic Spike,Low
E00457,2026-01-06 12:00:00,T1312,Low Signal,Low
E00458,2026-01-19 18:00:00,T1091,Packet Loss,Low
