customer_id,tower_id,region,plan,monthly_revenue,data_usage_gb,complaint_count
C00078,T1185,West,Unlimited,1199,27.82,2
C00079,T1036,Central,Basic,299,14.4,0
C00080,T1030,South,Unlimited,1199,17.57,0
C00081,T1493,West,Unlimited,1199,36.03,3
C00082,T1291,West,Basic,299,22.41,3
C00083,T1329,South,Basic,299,34.16,0
C00084,T1203,North,Unlimited,1199,39.29,1
C00085,T1482,West,Basic,299,29.5,1
C00086,T1037,South,Unlimited,1199,34.94,4
C00087,T1244,North,Premium,799,29.01,1
C00088,T1022,Central,Standard,499,40.59,0
C00089,T1245,Central,Premium,799,35.93,5
C00090,T1366,Central,Standard,499,32.52,4
C00091,T1291,West,Premium,799,23.53,2
C00092,T1157,Central,Premium,799,34.7,0
C00093,T1441,East,Standard,499,33.02,4
C00094,T1010,East,Basic,299,21.31,0
C00095,T1201,Central,Unlimited,1199,40.69,1
C00096,T1234,East,Unlimited,1199,36.34,3
C00097,T1388,East,Standard,499,23.91,1
C00098,T1171,Central,Premium,799,36.83,0
C00099,T1004,South,Standard,499,30.95,2
C00100,T1082,Central,Premium,799,3.41,1
C00101,T1424,South,Basic,299,4.28,0
C00102,T1037,South,Unlimited,1199,19.58,2
C00103,T1194,Central,Premium,799,52.03,0
C00104,T1130,South,Standard,499,11.17,1
C00105,T1460,Central,Unlimited,1199,46.32,4
C00106,T1094,Central,Premium,799,36.5,2
C00107,T1054,West,Unlimited,1199,17.41,0
C00108,T1275,Central,Premium,799,26.99,1
C00109,T1094,Central,Basic,299,25.39,1
C00110,T1321,East,Standard,499,43.25,3
C00111,T1338,West,Standard,499,28.53,1
C00112,T1112,North,Standard,499,15.68,1
C00113,T1157,Central,Premium,799,21.68,3
C00114,T1438,West,Basic,299,27.0,0
C00115,T1035,South,Basic,299,21.59,1
C00116,T1377,Central,Basic,299,33.45,4
C00117,T1292,South,Basic,299,11.56,0
C00118,T1329,South,Unlimited,1199,29.74,3
C00119,T1429,North,Basic,299,49.34,1
C00120,T1182,West,Standard,499,38.77,0
C00121,T1002,South,Unlimited,1199,19.08,0
C00122,T1261,North,Premium,799,13.68,0
C00123,T1124,East,Basic,299,18.01,2
C00124,T1077,East,Basic,299,33.82,1
C00125,T1045,West,Unlimited,1199,4.84,1
C00126,T1201,Central,Unlimited,1199,37.12,0
C00127,T1112,North,Standard,499,34.27,2
C00128,T1315,West,Basic,299,22.87,2
C00129,T1144,East,Premium,799,38.93,0
C00130,T1490,East,Unlimited,1199,34.6,2
C00131,T1171,Central,Unlimited,1199,13.34,2
C00132,T1165,East,Standard,499,0.0,2
C00133,T1044,North,Standard,499,16.5,0
C00134,T1303,North,Unlimited,1199,15.98,0
C00135,T1159,North,Standard,499,20.86,1
C00136,T1202,East,Basic,299,34.68,1
C00137,T1118,North,Standard,499,14.5,1
C00138,T1214,South,Standard,499,43.01,1
C00139,T1452,West,Standard,499,39.96,1
C00140,T1234,East,Premium,799,48.15,1
C00141,T1181,West,Standard,499,36.96,0
C00142,T1039,West,Premium,799,38.5,0
C00143,T1236,East,Unlimited,1199,18.01,2
C00144,T1455,West,Basic,299,22.01,1
C00145,T1355,South,Standard,499,46.97,0
C00146,T1000,North,Unlimited,1199,19.6,0
C00147,T1058,Central,Basic,299,12.62,0
C00148,T1410,West,Premium,799,19.82,0
C00149,T1431,Central,Standard,499,28.1,0
C00150,T1115,North,Basic,299,34.19,1
C00151,T1092,West,Standard,499,16.16,0
C00152,T1220,South,Standard,499,27.02,2
C00153,T1050,North,Standard,499,21.33,2
C00154,T1034,North,Premium,799,20.52,0
C00155,T1464,South,Basic,299,36.04,0
C00156,T1267,East,Unlimited,1199,42.63,3
C00157,T1370,West,Basic,299,24.61,1
C00158,T1351,East,Premium,799,19.86,0
C00159,T1289,Central,Basic,299,36.94,4
C00160,T1222,Central,Basic,299,35.24,0
C00161,T1395,Central,Basic,299,13.93,2
C00162,T1257,Central,Unlimited,1199,24.24,2
C00163,T1108,South,Premium,799,27.24,0
C00164,T1170,West,Basic,299,24.13,1
C00165,T1373,Central,Premium,799,24.82,0
C00166,T1291,West,Unlimited,1199,20.29,0
C00167,T1353,West,Unlimited,1199,34.47,1
C00168,T1085,West,Basic,299,37.31,0
C00169,T1195,North,Basic,299,27.08,3
C00170,T1362,East,Basic,299,19.08,1
C00171,T1384,East,Premium,799,7.21,0
C00172,T1469,Central,Standard,499,37.19,0
C00173,T1245,Central,Standard,499,23.41,1
C00174,T1280,South,Unlimited,1199,28.46,2
C00175,T1311,East,Standard,499,43.26,1
C00176,T1260,West,Unlimited,1199,35.32,2
C00177,T1460,Central,Standard,499,10.04,2
C00178,T1411,West,Premium,799,35.99,4
C00179,T1169,West,Premium,799,30.43,0
C00180,T1443,East,Basic,299,19.3,1
C00181,T1336,East,Basic,299,20.76,0
C00182,T1263,Central,Standard,499,30.79,1
C00183,T1086,South,Unlimited,1199,24.35,1
C00184,T1083,South,Basic,299,24.29,0
C00185,T1027,North,Standard,499,28.64,0
C00186,T1282,North,Standard,499,12.32,1
C00187,T1314,North,Premium,799,27.14,0
C00188,T1274,North,Standard,499,40.07,0
C00189,T1320,South,Standard,499,4.37,0
C00190,T1069,South,Standard,499,38.76,1
C00191,T1030,South,Premium,799,27.96,1
C00192,T1045,West,Premium,799,31.04,1
C00193,T1142,North,Unlimited,1199,34.6,1
C00194,T1142,North,Standard,499,39.24,2
C00195,T1374,North,Standard,499,18.88,0
C00196,T1473,North,Basic,299,44.21,1
C00197,T1033,Central,Unlimited,1199,28.06,3
C00198,T1498,North,Premium,799,20.91,1
C00199,T1295,West,Standard,499,33.68,0
C00200,T1358,South,Basic,299,23.58,1
C00201,T1344,East,Standard,499,33.74,4
C00202,T1376,Central,Basic,299,20.74,0
C00203,T1065,Central,Basic,299,29.24,0
C00204,T1324,North,Standard,499,33.39,1
C00205,T1025,North,Premium,799,30.51,1
C00206,T1479,Central,Standard,499,16.58,1
C00207,T1112,North,Standard,499,37.54,1
C00208,T1066,West,Unlimited,1199,28.59,2
C00209,T1254,South,Premium,799,12.28,1
C00210,T1435,South,Standard,499,24.36,0
C00211,T1356,West,Basic,299,28.75,1
C00212,T1124,East,Premium,799,36.52,1
C00213,T1367,Central,Standard,499,31.18,0
C00214,T1021,West,Standard,499,29.4,0
C00215,T1257,Central,Basic,299,16.06,0
C00216,T1213,Central,Premium,799,43.68,1
C00217,T1453,Central,Basic,299,39.75,0
C00218,T1208,East,Premium,799,40.11,2
C00219,T1202,East,Standard,499,15.31,0
C00220,T1001,North,Basic,299,6.06,1
C00221,T1176,South,Standard,499,23.63,1
C00222,T1478,West,Unlimited,1199,22.83,2
C00223,T1233,West,Unlimited,1199,24.14,2
C00224,T1182,West,Unlimited,1199,28.65,0
C00225,T1462,Central,Basic,299,21.83,1
C00226,T1312,West,Standard,499,19.87,1
C00227,T1067,East,Basic,299,22.75,1
C00228,T1350,Central,Basic,299,22.75,1
C00229,T1333,North,Standard,499,48.3,2
C00230,T1306,East,Basic,299,46.97,6
C00231,T1349,Central,Basic,299,21.84,0
C00232,T1240,East,Premium,799,8.45,2
C00233,T1193,South,Basic,299,23.43,3
C00234,T1298,South,Standard,499,42.35,2
C00235,T1483,South,Basic,299,34.72,1
C00236,T1134,South,Standard,499,29.75,0
C00237,T1431,Central,Premium,799,4.28,1
C00238,T1034,North,Unlimited,1199,52.29,1
C00239,T1200,East,Standard,499,17.98,1
C00240,T1077,East,Basic,299,28.05,0
C00241,T1410,West,Standard,499,33.3,1
C00242,T1480,East,Basic,299,34.56,1
C00243,T1214,South,Unlimited,1199,17.38,1
C00244,T1256,West,Basic,299,31.01,1
C00245,T1187,South,Unlimited,1199,10.05,0
C00246,T1285,North,Premium,799,28.8,1
C00247,T1496,West,Unlimited,1199,33.14,1
C00248,T1430,South,Unlimited,1199,19.45,1
C00249,T1235,North,Basic,299,11.24,0
C00250,T1196,Central,Standard,499,33.81,2
C00251,T1358,South,Unlimited,1199,32.91,0
C00252,T1476,East,Standard,499,21.64,1
C00253,T1043,West,Unlimited,1199,16.36,0
C00254,T1185,West,Premium,799,33.13,3
C00255,T1030,South,Premium,799,34.16,2
C00256,T1297,Central,Premium,799,29.05,1
C00257,T1398,North,Premium,799,21.83,1
C00258,T1153,West,Basic,299,21.95,0
C00259,T1225,Central,Unlimited,1199,34.44,1
C00260,T1200,East,Standard,499,38.43,0
C00261,T1350,Central,Premium,799,22.27,1
C00262,T1309,East,Standard,499,6.16,1
C00263,T1367,Central,Standard,499,24.49,1
C00264,T1290,South,Unlimited,1199,20.55,0
C00265,T1176,South,Basic,299,28.42,1
C00266,T1154,Central,Unlimited,1199,38.44,5
C00267,T1085,West,Unlimited,1199,8.16,0
C00268,T1097,Central,Standard,499,21.76,1
C00269,T1433,Central,Standard,499,30.18,0
C00270,T1197,Central,Standard,499,24.83,0
C00271,T1222,Central,Basic,299,24.25,2
C00272,T1045,West,Premium,799,24.99,3
C00273,T1495,East,Standard,499,21.38,4
C00274,T1110,East,Unlimited,1199,24.79,0
C00275,T1340,North,Standard,499,13.73,2
C00276,T1470,South,Premium,799,13.93,0
C00277,T1481,West,Premium,799,26.72,2
C00278,T1136,South,Standard,499,20.23,0
C00279,T1051,Central,Basic,299,36.3,0
C00280,T1273,North,Unlimited,1199,33.51,5
C00281,T1486,West,Basic,299,29.95,1
C00282,T1378,Central,Unlimited,1199,36.97,0
C00283,T1075,East,Standard,499,22.37,1
C00284,T1370,West,Premium,799,39.46,0
C00285,T1464,South,Basic,299,19.83,1
C00286,T1336,East,Unlimited,1199,13.01,1
C00287,T1134,South,Standard,499,31.49,1
C00288,T1102,North,Premium,799,33.28,1
C00289,T1412,South,Standard,499,22.69,1
C00290,T1454,East,Standard,499,2.5,2
C00291,T1368,East,Premium,799,25.91,0
C00292,T1484,North,Unlimited,1199,0.0,3
C00293,T1498,North,Standard,499,0.0,2
C00294,T1455,West,Premium,799,18.91,1
C00295,T1341,West,Basic,299,14.21,3
C00296,T1186,East,Standard,499,27.87,0
C00297,T1115,North,Standard,499,31.25,0
C00298,T1133,South,Standard,499,25.91,0
C00299,T1486,West,Basic,299,31.43,0
C00300,T1414,South,Standard,499,16.39,2
C00301,T1039,West,Basic,299,33.22,0
C00302,T1361,West,Premium,799,20.68,1
C00303,T1434,East,Unlimited,1199,29.91,1
C00304,T1207,South,Basic,299,24.98,1
C00305,T1191,Central,Premium,799,39.26,0
C00306,T1189,West,Unlimited,1199,38.93,1
C00307,T1398,North,Unlimited,1199,10.32,2
C00308,T1469,Central,Premium,799,35.02,1
C00309,T1255,Central,Premium,799,34.03,2
C00310,T1407,East,Unlimited,1199,13.16,1
C00311,T1205,Central,Premium,799,16.41,4
C00312,T1484,North,Standard,499,29.97,1
C00313,T1184,South,Standard,499,18.19,4
C00314,T1189,West,Unlimited,1199,37.11,1
C00315,T1438,West,Premium,799,22.25,0
C00316,T1201,Central,Unlimited,1199,30.78,2
C00317,T1476,East,Unlimited,1199,13.6,0
C00318,T1492,East,Basic,299,33.19,1
C00319,T1220,South,Standard,499,22.29,1
C00320,T1463,South,Premium,799,17.35,1
C00321,T1064,Central,Basic,299,29.22,0
C00322,T1090,South,Premium,799,16.13,1
C00323,T1146,South,Premium,799,26.69,2
C00324,T1011,East,Basic,299,19.29,0
C00325,T1293,North,Premium,799,16.79,1
C00326,T1473,North,Premium,799,11.06,0
C00327,T1260,West,Basic,299,9.27,4
C00328,T1417,Central,Premium,799,16.65,2
C00329,T1094,Central,Unlimited,1199,27.21,0
C00330,T1305,Central,Standard,499,46.62,0
C00331,T1165,East,Premium,799,33.96,3
C00332,T1294,Central,Unlimited,1199,21.85,2
C00333,T1203,North,Premium,799,28.14,0
C00334,T1432,South,Unlimited,1199,21.64,0
C00335,T1093,West,Basic,299,27.54,1
C00336,T1436,South,Standard,499,23.44,2
C00337,T1006,Central,Unlimited,1199,21.86,1
C00338,T1445,East,Premium,799,31.36,2
C00339,T1122,Central,Premium,799,30.3,0
C00340,T1397,West,Basic,299,16.89,3
C00341,T1136,South,Standard,499,22.95,1
C00342,T1197,Central,Basic,299,25.75,0
C00343,T1477,West,Premium,799,17.94,1
C00344,T1026,South,Premium,799,29.05,0
C00345,T1333,North,Standard,499,20.9,0
C00346,T1126,West,Standard,499,20.1,1
C00347,T1481,West,Unlimited,1199,35.16,2
C00348,T1418,North,Basic,299,25.68,1
C00349,T1154,Central,Premium,799,24.09,1
C00350,T1453,Central,Premium,799,28.67,2
C00351,T1109,East,Basic,299,25.37,1
C00352,T1231,West,Unlimited,1199,24.11,1
C00353,T1112,North,Unlimited,1199,32.2,1
C00354,T1115,North,Basic,299,9.92,1
C00355,T1492,East,Basic,299,35.48,0
C00356,T1015,North,Basic,299,36.45,1
C00357,T1253,East,Premium,799,9.32,1
C00358,T1470,South,Standard,499,26.8,1
C00359,T1072,East,Basic,299,33.33,0
C00360,T1040,North,Premium,799,25.19,2
C00361,T1373,Central,Unlimited,1199,20.35,2
C00362,T1047,West,Premium,799,32.26,2
C00363,T1162,North,Standard,499,31.98,0
C00364,T1107,Central,Premium,799,39.57,1
C00365,T1417,Central,Premium,799,25.11,2
C00366,T1378,Central,Standard,499,1.99,0
C00367,T1221,North,Unlimited,1199,32.39,3
C00368,T1132,East,Premium,799,43.6,0
C00369,T1432,South,Unlimited,1199,29.58,2
C00370,T1024,North,Basic,299,15.98,0
C00371,T1254,South,Standard,499,19.39,1
C00372,T1329,South,Standard,499,17.25,4
C00373,T1445,East,Basic,299,33.41,5
C00374,T1210,East,Premium,799,27.01,1
C00375,T1448,East,Standard,499,21.14,0
C00376,T1113,South,Unlimited,1199,23.09,1
C00377,T1236,East,Unlimited,1199,11.14,0
C00378,T1067,East,Unlimited,1199,24.38,0
C00379,T1204,West,Premium,799,9.04,2
C00380,T1208,East,Standard,499,27.17,0
C00381,T1099,North,Unlimited,1199,30.49,1
C00382,T1001,North,Basic,299,11.41,1
C00383,T1142,North,Basic,299,25.45,2
C00384,T1330,North,Basic,299,43.03,0
C00385,T1473,North,Premium,799,27.99,1
C00386,T1417,Central,Standard,499,22.45,0
C00387,T1416,West,Unlimited,1199,17.54,1
C00388,T1477,West,Basic,299,14.96,1
C00389,T1012,Central,Premium,799,30.13,0
C00390,T1166,North,Basic,299,22.4,3
C00391,T1018,East,Basic,299,18.2,4
C00392,T1247,Central,Standard,499,23.35,0
C00393,T1373,Central,Standard,499,15.56,3
C00394,T1033,Central,Premium,799,22.71,1
C00395,T1095,Central,Premium,799,22.28,0
C00396,T1237,Central,Standard,499,37.68,2
C00397,T1061,South,Unlimited,1199,8.39,1
C00398,T1013,West,Premium,799,19.67,0
C00399,T1116,East,Basic,299,15.96,1
C00400,T1393,West,Standard,499,34.14,2
C00401,T1390,North,Unlimited,1199,43.19,1
C00402,T1270,North,Basic,299,13.39,3
C00403,T1253,East,Standard,499,25.17,2
C00404,T1465,North,Basic,299,21.68,1
C00405,T1101,West,Basic,299,32.72,0
C00406,T1101,West,Unlimited,1199,23.17,2
C00407,T1318,East,Premium,799,30.77,2
C00408,T1179,North,Standard,499,12.28,1
C00409,T1265,South,Unlimited,1199,31.63,0
C00410,T1090,South,Basic,299,19.18,0
C00411,T1307,West,Standard,499,32.05,2
C00412,T1294,Central,Unlimited,1199,5.9,1
C00413,T1401,South,Standard,499,19.72,0
C00414,T1176,South,Standard,499,30.74,1
C00415,T1368,East,Premium,799,36.48,1
C00416,T1494,West,Premium,799,19.62,1
C00417,T1423,West,Standard,499,33.17,0
C00418,T1465,North,Standard,499,21.3,0
C00419,T1075,East,Standard,499,16.0,3
C00420,T1077,East,Unlimited,1199,18.29,0
C00421,T1116,East,Standard,499,18.87,3
C00422,T1457,Central,Standard,499,24.44,2
C00423,T1000,North,Premium,799,11.26,0
C00424,T1186,East,Unlimited,1199,25.85,0
C00425,T1353,West,Standard,499,25.34,1
C00426,T1400,South,Premium,799,32.71,2
C00427,T1115,North,Standard,499,38.6,1
C00428,T1116,East,Unlimited,1199,33.56,0
C00429,T1218,North,Basic,299,20.48,1
C00430,T1259,Central,Premium,799,30.22,3
C00431,T1240,East,Unlimited,1199,19.42,2
C00432,T1046,East,Basic,299,39.9,2
C00433,T1282,North,Unlimited,1199,19.06,0
C00434,T1023,East,Standard,499,17.0,2
C00435,T1199,West,Unlimited,1199,28.59,1
C00436,T1403,Central,Basic,299,27.59,0
C00437,T1391,South,Standard,499,15.99,2
C00438,T1424,South,Standard,499,28.5,1
C00439,T1195,North,Basic,299,22.75,1
C00440,T1050,North,Basic,299,32.0,1
C00441,T1251,West,Basic,299,32.32,2
C00442,T1079,Central,Unlimited,1199,24.12,3
C00443,T1051,Central,Premium,799,22.9,4
C00444,T1330,North,Standard,499,22.38,0
C00445,T1457,Central,Standard,499,16.61,1
C00446,T1361,West,Basic,299,27.66,0
C00447,T1493,West,Unlimited,1199,21.12,0
C00448,T1341,West,Unlimited,1199,30.13,0
C00449,T1472,South,Premium,799,12.58,5
C00450,T1440,West,Premium,799,7.36,2
C00451,T1399,East,Unlimited,1199,18.14,1
C00452,T1244,North,Standard,499,29.83,2
C00453,T1166,North,Unlimited,1199,23.61,4
C00454,T1385,South,Premium,799,25.19,0
C00455,T1067,East,Standard,499,12.0,0
C00456,T1107,Central,Standard,499,25.55,2
C00457,T1353,West,Standard,499,21.86,4
C00458,T1072,East,Standard,499,12.37,1
C00459,T1470,South,Basic,299,40.98,1
C00460,T1324,North,Basic,299,31.97,0
C00461,T1386,East,Premium,799,30.3,0
C00462,T1129,West,Standard,499,28.09,4
C00463,T1286,West,Standard,499,25.56,3
C00464,T1367,Central,Standard,499,27.78,3
C00465,T1091,North,Premium,799,16.75,0
C00466,T1207,South,Basic,299,22.16,1
C00467,T1193,South,Standard,499,33.29,5
C00468,T1172,East,Standard,499,33.34,0
C00469,T1190,East,Basic,299,11.75,0
C00470,T1460,Central,Unlimited,1199,41.48,1
C00471,T1124,East,Unlimited,1199,32.74,2
C00472,T1442,East,Standard,499,22.33,0
C00473,T1034,North,Basic,299,41.94,1
C00474,T1272,East,Basic,299,11.13,0
C00475,T1139,West,Unlimited,1199,29.26,0
C00476,T1350,Central,Unlimited,1199,17.17,0
C00477,T1141,North,Basic,299,44.71,2
C00478,T1423,West,Standard,499,36.15,1
C00479,T1003,Central,Unlimited,1199,23.39,2
C00480,T1342,Central,Premium,799,21.16,2
C00481,T1117,Central,Premium,799,22.52,1
C00482,T1395,Central,Basic,299,10.81,2
C00483,T1334,North,Premium,799,36.86,0
C00484,T1076,Central,Basic,299,15.98,0
C00485,T1454,East,Basic,299,14.61,2
C00486,T1112,North,Unlimited,1199,24.69,1
C00487,T1089,Central,Unlimited,1199,23.22,1
C00488,T1338,West,Basic,299,25.03,1
C00489,T1260,West,Premium,799,24.82,1
C00490,T1339,West,Unlimited,1199,29.61,0
C00491,T1117,Central,Unlimited,1199,35.24,2
C00492,T1336,East,Premium,799,28.48,0
C00493,T1197,Central,Basic,299,24.02,3
C00494,T1160,South,Premium,799,11.59,1
C00495,T1404,West,Unlimited,1199,23.13,1
C00496,T1185,West,Premium,799,34.4,1
C00497,T1128,North,Basic,299,27.64,1
C00498,T1409,North,Standard,499,25.8,1
C00499,T1479,Central,Basic,299,32.51,0
C00500,T1188,South,Basic,299,35.12,1
C00501,T1219,South,Premium,799,44.51,1
C00502,T1036,Central,Basic,299,38.45,0
C00503,T1289,Central,Premium,799,48.79,1
C00504,T1168,South,Unlimited,1199,32.87,1
C00505,T1139,West,Basic,299,12.72,1
C00506,T1291,West,Basic,299,30.34,1
C00507,T1295,West,Unlimited,1199,39.26,0
C00508,T1303,North,Standard,499,23.65,2
C00509,T1302,Central,Premium,799,23.97,2
C00510,T1230,East,Unlimited,1199,13.48,1
C00511,T1183,Central,Standard,499,30.35,0
C00512,T1030,South,Unlimited,1199,17.04,0
C00513,T1411,West,Basic,299,37.57,3
C00514,T1415,North,Standard,499,29.2,1
C00515,T1009,East,Premium,799,18.54,1
C00516,T1086,South,Unlimited,1199,22.25,0
C00517,T1499,North,Standard,499,24.13,3
C00518,T1341,West,Basic,299,24.06,1
C00519,T1036,Central,Unlimited,1199,23.55,1
C00520,T1049,West,Standard,499,30.03,2
C00521,T1373,Central,Basic,299,26.39,1
C00522,T1076,Central,Premium,799,22.11,1
C00523,T1037,South,Standard,499,19.13,5
C00524,T1124,East,Unlimited,1199,23.38,0
C00525,T1463,South,Unlimited,1199,23.1,0
C00526,T1236,East,Unlimited,1199,15.07,1
C00527,T1207,South,Basic,299,9.36,0
C00528,T1289,Central,Unlimited,1199,19.88,2
C00529,T1110,East,Basic,299,20.64,2
C00530,T1084,East,Unlimited,1199,62.03,1
C00531,T1251,West,Unlimited,1199,17.45,0
C00532,T1118,North,Basic,299,24.06,2
C00533,T1408,South,Standard,499,21.65,1
C00534,T1067,East,Unlimited,1199,36.61,2
C00535,T1333,North,Unlimited,1199,21.74,1
C00536,T1345,North,Basic,299,9.58,2
C00537,T1235,North,Premium,799,34.18,1
C00538,T1356,West,Unlimited,1199,12.42,0
C00539,T1332,South,Unlimited,1199,20.33,0
C00540,T1180,North,Standard,499,33.67,0
C00541,T1430,South,Standard,499,30.1,0
C00542,T1481,West,Premium,799,20.14,1
C00543,T1103,West,Basic,299,12.77,0
C00544,T1308,North,Basic,299,28.24,1
C00545,T1322,East,Unlimited,1199,25.21,1
C00546,T1168,South,Premium,799,46.93,0
C00547,T1096,West,Basic,299,18.05,0
C00548,T1488,East,Premium,799,25.52,2
C00549,T1093,West,Standard,499,26.32,2
C00550,T1063,South,Standard,499,24.33,1
C00551,T1023,East,Standard,499,12.54,2
C00552,T1061,South,Basic,299,19.97,0
C00553,T1180,North,Basic,299,14.71,1
C00554,T1396,South,Premium,799,20.34,1
C00555,T1248,North,Unlimited,1199,38.31,5
C00556,T1139,West,Premium,799,27.47,1
C00557,T1288,West,Unlimited,1199,29.44,1
C00558,T1409,North,Premium,799,22.67,1
C00559,T1245,Central,Basic,299,27.4,2
C00560,T1000,North,Standard,499,25.46,2
C00561,T1215,North,Unlimited,1199,20.51,0
C00562,T1202,East,Premium,799,24.47,3
C00563,T1158,West,Unlimited,1199,39.55,2
C00564,T1254,South,Unlimited,1199,18.95,2
C00565,T1152,Central,Unlimited,1199,28.28,1
C00566,T1303,North,Unlimited,1199,36.6,2
C00567,T1472,South,Premium,799,39.55,1
C00568,T1214,South,Standard,499,41.88,5
C00569,T1455,West,Premium,799,31.42,1
C00570,T1218,North,Basic,299,23.4,0
C00571,T1131,East,Premium,799,21.4,1
C00572,T1016,East,Basic,299,13.81,2
C00573,T1208,East,Standard,499,17.36,3
C00574,T1180,North,Premium,799,23.87,1
C00575,T1357,North,Standard,499,22.43,0
C00576,T1240,East,Standard,499,18.1,1
C00577,T1019,South,Unlimited,1199,43.82,0
C00578,T1499,North,Premium,799,23.84,2
C00579,T1289,Central,Unlimited,1199,25.43,1
C00580,T1315,West,Standard,499,14.35,2
C00581,T1492,East,Unlimited,1199,27.39,3
C00582,T1225,Central,Basic,299,21.12,1
C00583,T1056,South,Premium,799,23.42,0
C00584,T1070,West,Unlimited,1199,29.42,1
C00585,T1114,West,Premium,799,28.86,1
C00586,T1105,West,Basic,299,47.26,2
C00587,T1355,South,Premium,799,16.8,0
C00588,T1303,North,Unlimited,1199,29.55,0
C00589,T1368,East,Basic,299,8.5,1
C00590,T1091,North,Premium,799,24.89,1
C00591,T1179,North,Basic,299,35.24,1
C00592,T1082,Central,Standard,499,25.47,2
C00593,T1236,East,Unlimited,1199,29.3,0
C00594,T1345,North,Standard,499,20.56,1
C00595,T1218,North,Premium,799,28.77,0
C00596,T1120,North,Basic,299,24.84,0
C00597,T1436,South,Premium,799,38.21,1
C00598,T1314,North,Premium,799,18.64,1
C00599,T1469,Central,Premium,799,20.78,1
C00600,T1313,West,Unlimited,1199,29.64,1
C00601,T1178,Central,Premium,799,30.75,0
C00602,T1211,South,Unlimited,1199,15.84,0
C00603,T1126,West,Premium,799,35.68,2
C00604,T1497,Central,Premium,799,25.01,0
C00605,T1385,South,Premium,799,27.72,2
C00606,T1447,South,Premium,799,18.06,1
C00607,T1381,East,Standard,499,8.29,0
C00608,T1157,Central,Premium,799,24.97,3
