tower_id,region,technology,latitude,longitude,installation_year
T1114,West,5G,28.706249,72.865885,2025
T1115,North,4G,34.047461,71.134864,2016
T1116,East,5G,18.70967,88.735426,2017
T1117,Central,4G,10.751335,90.401946,2025
T1118,North,4G,17.374502,80.422962,2021
T1119,North,5G,8.341608,80.181703,2023
T1120,North,5G,33.941264,86.431968,2023
T1121,South,5G,12.755698,83.130656,2020
T1122,Central,5G,20.551592,91.946303,2025
T1123,East,5G,30.996255,92.0912,2017
T1124,East,5G,14.584313,81.476546,2025
T1125,West,5G,8.7749,92.677632,2018
T1126,West,4G,17.580274,75.49222,2020
T1127,Central,5G,23.006358,82.98219,2019
T1128,North,4G,27.442016,82.168758,2019
T1129,West,5G,20.100713,68.500055,2020
T1130,South,5G,26.678253,76.879975,2025
T1131,East,5G,22.94377,77.968964,2024
T1132,East,5G,26.977083,75.856576,2020
T1133,South,4G,27.474677,77.15089,2024
T1134,South,4G,13.842385,82.041759,2025
T1135,Central,5G,34.473787,92.146223,2020
T1136,South,5G,12.844922,68.410303,2024
T1137,South,5G,9.228924,69.581255,2020
T1138,South,5G,10.769866,68.355697,2020
T1139,West,5G,19.892658,73.346546,2016
T1140,East,5G,11.080353,69.89496,2023
T1141,North,4G,12.096629,91.52312,2020
T1142,North,4G,11.198192,90.16886,2025
T1143,Central,4G,28.943726,79.030963,2023
T1144,East,5G,16.245267,86.009792,2025
T1145,North,4G,24.888906,75.674738,2017
T1146,South,4G,12.692966,70.176881,2016
T1147,West,5G,26.613021,81.627462,2016
T1148,South,5G,27.087807,88.386639,2023
T1149,North,4G,32.945598,90.847013,2025
T1150,South,5G,11.09896,74.519474,2018
T1151,East,4G,9.928066,72.811761,2020
T1152,Central,5G,19.857143,81.592241,2020
T1153,West,5G,21.512749,82.320061,2017
T1154,Central,4G,32.014418,89.301484,2025
T1155,East,4G,10.465826,95.895422,2025
T1156,Central,4G,34.988455,87.496166,2020
T1157,Central,4G,28.603943,73.080531,2024
T1158,West,5G,12.900207,84.974559,2023
T1159,North,5G,17.394949,77.665943,2017
T1160,South,5G,19.114417,82.368602,2022
T1161,Central,4G,20.2803,77.120998,2021
T1162,North,5G,31.352586,91.922889,2016
T1163,Central,5G,19.157684,73.439894,2021
T1164,Central,5G,24.886036,90.039726,2019
T1165,East,4G,33.047165,80.705367,2023
T1166,North,4G,34.274964,85.657278,2019
T1167,South,5G,22.872653,84.015291,2017
T1168,South,4G,20.459093,71.406518,2018
T1169,West,5G,21.739544,75.929322,2023
T1170,West,4G,20.333235,72.194617,2019
T1171,Central,4G,31.328727,76.011175,2022
T1172,East,5G,30.154836,76.202331,2020
T1173,Central,5G,31.362036,80.949874,2023
T1174,East,5G,22.90177,83.759472,2023
T1175,East,4G,34.480915,74.925361,2022
T1176,South,5G,9.178477,89.596449,2022
T1177,West,4G,21.373874,69.073569,2024
T1178,Central,5G,31.481908,93.351521,2023
T1179,North,5G,8.414385,72.180507,2018
T1180,North,5G,29.101183,75.685661,2025
T1181,West,4G,30.997663,92.717899,2024
T1182,West,5G,24.923578,93.735722,2023
T1183,Central,4G,24.671405,74.808337,2020
T1184,South,4G,19.71723,70.854851,2017
T1185,West,4G,26.738031,94.199298,2016
T1186,East,4G,15.92093,78.870392,2018
T1187,South,5G,23.280058,90.983065,2018
T1188,South,4G,24.456278,79.093785,2019
T1189,West,4G,14.269088,86.499234,2023
T1190,East,4G,32.27053,81.492344,2020
T1191,Central,4G,9.994271,95.411833,2025
T1192,East,5G,26.638465,81.248239,2020
T1193,South,5G,31.040057,71.092945,2022
T1194,Central,5G,23.519922,96.788069,2020
T1195,North,5G,15.41097,84.411941,2016
T1196,Central,5G,30.48665,94.185113,2019
T1197,Central,5G,13.913123,73.513828,2020
T1198,South,4G,32.3919,86.743878,2020
T1199,West,4G,23.648493,89.238433,2017
T1200,East,5G,28.181983,73.093562,2018
T1201,Central,5G,22.333014,94.491122,2018
T1202,East,5G,34.11937,76.559102,2021
T1203,North,5G,33.998119,72.081953,2019
T1204,West,5G,10.438178,79.442662,2020
T1205,Central,4G,20.279223,87.512023,2020
T1206,Central,5G,30.205267,95.268465,2017
T1207,South,5G,8.675666,93.642811,2024
T1208,East,4G,25.486614,86.426714,2023
T1209,East,5G,11.15025,69.315058,2016
T1210,East,5G,11.135253,74.809201,2024
T1211,South,5G,20.248381,87.4441,2024
T1212,West,4G,31.906172,86.992735,2023
T1213,Central,5G,33.354433,76.112464,2021
T1214,South,5G,20.006788,74.847267,2021
T1215,North,5G,22.700578,96.357433,2021
T1216,North,5G,15.448799,96.077999,2023
T1217,North,4G,25.326021,85.317233,2016
T1218,North,5G,14.57636,71.651793,2025
T1219,South,4G,30.405082,84.072026,2025
T1220,South,4G,16.871108,72.279071,2025
T1221,North,5G,31.176965,72.195951,2018
T1222,Central,5G,29.559873,71.187864,2016
T1223,South,4G,17.672542,90.864514,2025
T1224,East,4G,12.704647,69.519572,2022
T1225,Central,4G,28.132962,81.811133,2021
T1226,Central,4G,20.204146,74.424943,2025
T1227,North,5G,20.367148,95.956759,2016
T1228,West,5G,19.509388,71.130893,2023
T1229,North,4G,16.697019,72.301681,2018
T1230,East,5G,18.284419,85.324364,2020
T1231,West,5G,10.677818,88.351603,2024
T1232,South,5G,20.191983,74.626314,2021
T1233,West,5G,19.231721,70.757489,2022
T1234,East,5G,18.106128,72.426529,2023
T1235,North,4G,30.457841,70.703673,2017
T1236,East,4G,23.02201,85.007487,2024
T1237,Central,5G,26.090358,79.91345,2022
T1238,North,5G,24.211072,78.197739,2025
T1239,Central,4G,12.177715,81.983492,2017
T1240,East,5G,11.101903,76.078478,2019
T1241,West,4G,24.442863,87.077106,2020
T1242,North,4G,15.3783,90.109876,2021
T1243,East,4G,12.89795,72.154293,2022
T1244,North,4G,28.006165,96.182499,2017
T1245,Central,4G,18.157249,81.155728,2018
T1246,East,5G,27.483091,90.528233,2025
T1247,Central,4G,31.850239,72.511817,2025
T1248,North,4G,15.346777,87.196222,2023
T1249,Central,5G,19.182961,74.2515,2024
T1250,North,5G,19.607668,76.214148,2025
T1251,West,5G,9.226269,79.462638,2025
T1252,North,4G,13.519424,95.414399,2018
T1253,East,5G,16.859304,68.224167,2022
T1254,South,4G,18.265601,88.406467,2024
T1255,Central,5G,9.946038,92.991166,2016
T1256,West,4G,20.413365,70.258016,2021
T1257,Central,5G,23.481791,88.57547,2022
T1258,East,4G,18.935872,96.019791,2018
T1259,Central,5G,30.4647,94.673323,2017
T1260,West,4G,14.569545,85.077267,2024
T1261,North,5G,31.504159,89.62834,2019
T1262,East,4G,10.062243,86.363515,2024
T1263,Central,4G,32.459914,78.131883,2018
T1264,South,4G,11.953994,73.720882,2025
T1265,South,4G,12.782945,90.412595,2023
T1266,West,5G,26.390604,93.579397,2025
T1267,East,5G,12.07585,69.980301,2023
T1268,East,5G,23.968333,78.206324,2017
T1269,East,5G,20.201674,69.649811,2020
T1270,North,4G,24.605226,82.704967,2023
T1271,Central,4G,20.14281,91.484662,2019
T1272,East,5G,21.536917,95.773948,2023
T1273,North,5G,34.524411,70.445545,2018
T1274,North,4G,27.105786,96.738595,2024
T1275,Central,4G,17.825245,94.620167,2022
T1276,West,5G,26.330238,69.5186,2021
T1277,North,5G,10.551661,87.673001,2020
T1278,East,4G,17.000775,84.899446,2018
T1279,East,5G,34.127806,88.255919,2022
T1280,South,4G,16.358711,78.9237,2021
T1281,South,4G,25.44267,80.278785,2021
T1282,North,5G,16.339384,95.58391,2021
T1283,West,4G,14.116662,71.989395,2017
T1284,East,4G,21.707622,83.653352,2024
T1285,North,5G,31.662605,85.922912,2025
T1286,West,4G,12.380675,92.109007,2025
T1287,South,5G,9.179696,78.564683,2019
T1288,West,5G,28.314561,90.73021,2019
T1289,Central,4G,16.355633,91.450092,2023
T1290,South,5G,26.314284,84.542162,2023
T1291,West,5G,29.009349,82.584294,2022
T1292,South,4G,29.633999,72.013558,2020
T1293,North,5G,31.601158,84.081682,2017
T1294,Central,4G,15.696701,90.130388,2020
T1295,West,4G,30.438261,70.659694,2019
T1296,West,5G,33.122742,80.03201,2022
T1297,Central,5G,14.366008,96.841235,2021
T1298,South,4G,16.604492,70.873411,2021
T1299,South,4G,9.034186,94.604489,2023
T1300,South,5G,20.11224,68.152285,2017
T1301,North,5G,13.822678,72.336069,2025
T1302,Central,5G,11.002045,76.354946,2020
T1303,North,4G,14.437867,86.5296,2025
T1304,West,4G,10.993163,94.24926,2025
T1305,Central,4G,25.062783,84.676376,2018
T1306,East,5G,8.042237,78.231665,2025
T1307,West,4G,25.938025,70.482805,2021
T1308,North,4G,18.542251,81.633917,2022
T1309,East,5G,28.177548,78.355722,2017
T1310,East,4G,27.789408,86.219452,2025
T1311,East,4G,9.197064,83.834399,2018
T1312,West,5G,25.056868,91.533433,2017
T1313,West,4G,15.922949,69.270382,2019
T1314,North,5G,33.201016,82.946124,2024
T1315,West,5G,8.988761,86.760114,2020
T1316,East,4G,31.376553,77.625816,2017
T1317,East,5G,32.016136,89.555923,2022
T1318,East,4G,21.397487,82.428178,2024
T1319,East,4G,27.631196,70.288883,2025
T1320,South,5G,16.672709,70.321998,2020
T1321,East,5G,24.270784,80.357366,2023
T1322,East,5G,9.143589,93.231078,2021
T1323,Central,5G,15.412995,96.420791,2016
T1324,North,5G,17.809401,91.231783,2018
T1325,North,4G,30.914071,87.664577,2023
T1326,North,4G,9.815301,90.576946,2021
T1327,East,5G,33.635612,68.939174,2018
T1328,West,5G,18.044361,90.12945,2025
T1329,South,5G,18.746919,86.837261,2019
T1330,North,4G,27.863221,82.472275,2022
T1331,Central,4G,15.06797,75.548403,2023
T1332,South,5G,26.737477,96.960236,2019
T1333,North,4G,31.02631,81.109238,2023
T1334,North,5G,26.031674,88.576674,2024
T1335,Central,5G,32.065955,92.689499,2018
T1336,East,4G,11.276786,73.828431,2018
T1337,South,5G,8.709669,84.066622,2021
T1338,West,4G,24.522606,70.500249,2020
T1339,West,5G,22.193783,90.305772,2025
T1340,North,4G,34.254253,86.627819,2023
T1341,West,5G,11.465034,92.042558,2024
T1342,Central,4G,28.730104,71.741956,2024
T1343,North,4G,21.988758,76.819612,2018
T1344,East,4G,17.342623,95.286218,2020
T1345,North,5G,13.300152,95.734197,2020
T1346,South,5G,24.589564,70.709424,2018
T1347,Central,4G,12.622417,86.109896,2025
T1348,East,4G,30.281379,68.822831,2016
T1349,Central,5G,25.580509,90.241811,2022
T1350,Central,4G,21.447028,86.187756,2020
T1351,East,5G,14.611704,91.41313,2022
T1352,East,5G,9.970272,69.737478,2023
T1353,West,5G,20.539938,77.865584,2018
T1354,East,5G,27.823393,92.962544,2022
T1355,South,5G,21.904464,71.079334,2019
T1356,West,4G,15.221735,75.189648,2017
T1357,North,5G,33.525392,93.060752,2022
T1358,South,4G,29.963902,95.078795,2021
T1359,South,4G,21.45317,82.92702,2023
T1360,East,5G,8.62576,95.411751,2024
T1361,West,4G,13.808899,78.233958,2016
T1362,East,5G,24.133007,92.44264,2023
T1363,East,4G,30.873654,80.496905,2020
T1364,East,5G,17.880309,79.616867,2025
T1365,Central,4G,17.788142,76.369449,2022
T1366,Central,5G,28.638911,76.1119,2025
T1367,Central,4G,11.473912,70.803763,2021
T1368,East,5G,28.38406,73.772679,2024
T1369,West,4G,9.223191,71.974055,2021
T1370,West,5G,12.021398,93.900819,2018
T1371,East,5G,12.387555,96.727856,2020
T1372,Central,5G,21.697505,82.781709,2023
T1373,Central,5G,20.8221,68.482472,2021
T1374,North,5G,23.759958,91.10589,2016
T1375,Central,5G,15.169322,87.012138,2025
T1376,Central,4G,27.477803,84.922175,2018
T1377,Central,5G,11.989944,87.74108,2016
T1378,Central,4G,13.151177,80.790118,2022
T1379,South,5G,26.643507,79.900945,2025
T1380,West,4G,27.055931,83.041813,2024
T1381,East,5G,22.187883,77.098825,2018
T1382,West,5G,22.749377,87.600189,2020
T1383,Central,5G,13.191133,75.149055,2024
T1384,East,4G,33.42011,96.485549,2020
T1385,South,5G,16.5601,78.115292,2020
T1386,East,4G,23.483874,83.752535,2022
T1387,East,4G,15.842222,76.34128,2017
T1388,East,5G,25.711245,89.672816,2019
T1389,South,5G,33.191646,88.188968,2018
T1390,North,4G,14.546367,87.425185,2024
T1391,South,4G,9.41726,79.98574,2023
T1392,North,4G,8.139899,83.960224,2018
T1393,West,5G,20.89111,73.784223,2020
T1394,East,5G,25.439244,94.330172,2017
T1395,Central,4G,22.449111,88.970413,2016
T1396,South,5G,31.820614,73.097873,2016
T1397,West,5G,13.030414,89.721093,2020
T1398,North,4G,16.05659,85.480706,2021
T1399,East,5G,34.705686,83.755714,2023
T1400,South,5G,15.366601,91.455602,2021
T1401,South,5G,25.503704,88.839347,2016
T1402,East,5G,23.330093,89.9612,2018
T1403,Central,5G,30.328725,82.943139,2017
T1404,West,4G,12.989092,72.077744,2021
T1405,South,4G,15.041202,74.830116,2020
T1406,East,5G,23.72644,84.613443,2020
T1407,East,4G,9.677357,71.428521,2020
T1408,South,5G,26.523988,94.770074,2020
T1409,North,5G,17.923685,74.404628,2018
T1410,West,4G,20.284424,96.676301,2021
T1411,West,5G,28.448464,91.257855,2019
T1412,South,4G,22.18868,83.317021,2021
T1413,North,4G,9.667467,83.881828,2024
T1414,South,4G,12.442503,92.780094,2023
T1415,North,4G,27.356785,82.176011,2024
T1416,West,4G,20.242672,82.884187,2023
T1417,Central,4G,23.087524,87.510264,2020
T1418,North,5G,14.870345,68.087449,2019
T1419,Central,4G,9.222825,77.991337,2017
T1420,Central,4G,33.233736,70.001555,2023
T1421,North,5G,19.039407,90.30019,2022
T1422,East,5G,20.110503,94.596337,2022
T1423,West,4G,26.43372,87.191984,2024
T1424,South,5G,11.203096,96.792557,2022
T1425,Central,4G,27.65217,74.458016,2016
T1426,North,5G,20.501105,88.853725,2022
T1427,Central,5G,30.230732,75.177849,2021
T1428,South,5G,13.088972,93.381037,2017
T1429,North,5G,24.602927,95.1509,2016
T1430,South,4G,9.816854,85.22438,2023
T1431,Central,4G,14.607822,69.282865,2023
T1432,South,4G,28.368414,90.505845,2018
T1433,Central,5G,14.322361,94.575514,2025
T1434,East,5G,14.396409,93.411491,2024
T1435,South,5G,16.113526,69.767771,2025
T1436,South,5G,23.007968,69.359639,2021
T1437,West,5G,26.800327,79.839516,2020
T1438,West,4G,28.369235,81.732046,2019
T1439,East,4G,29.755956,94.527494,2024
T1440,West,5G,23.046742,71.88869,2019
T1441,East,4G,16.917101,70.293043,2023
T1442,East,4G,22.462159,92.052782,2016
T1443,East,5G,26.189142,85.484739,2017
T1444,South,4G,20.943644,93.214742,2021
T1445,East,4G,13.71881,73.510687,2017
T1446,West,4G,26.78191,88.409289,2022
T1447,South,5G,28.938875,79.039191,2024
T1448,East,5G,15.062164,82.87168,2023
T1449,West,4G,29.676049,88.949994,2021
T1450,South,5G,16.448895,69.325748,2019
T1451,South,4G,15.040901,95.107989,2025
T1452,West,5G,12.115108,77.566093,2022
T1453,Central,4G,21.48114,86.983631,2021
T1454,East,5G,34.095723,86.609139,2023
T1455,West,4G,27.78485,78.213109,2018
T1456,Central,5G,12.96929,93.791571,2016
T1457,Central,4G,30.654849,70.155582,2016
T1458,North,5G,11.712271,86.290348,2017
T1459,South,4G,13.905431,81.22428,2016
T1460,Central,5G,25.800677,68.456221,2024
T1461,Central,5G,8.319976,83.353112,2020
T1462,Central,5G,8.46285,91.581559,2022
T1463,South,4G,32.787319,83.207177,2019
T1464,South,5G,30.010789,75.752417,2022
T1465,North,5G,33.90104,81.310935,2019
T1466,South,5G,26.469124,92.588146,2016
T1467,North,5G,18.240129,84.028342,2016
T1468,North,4G,10.232525,92.514564,2021
T1469,Central,4G,32.159363,94.655414,2019
T1470,South,5G,15.319566,94.800619,2020
T1471,Central,4G,12.842572,92.6624,2016
T1472,South,4G,28.310871,88.668631,2022
T1473,North,5G,12.386157,74.973694,2022
T1474,Central,5G,18.363848,89.45261,2017
T1475,Central,5G,9.449804,80.675559,2017
T1476,East,5G,34.160854,77.464923,2020
T1477,West,5G,14.159737,84.038094,2022
T1478,West,4G,26.351761,87.159485,2017
T1479,Central,5G,29.54749,88.680147,2017
T1480,East,4G,18.26,90.732818,2018
T1481,West,5G,17.738906,70.654092,2020
T1482,West,5G,28.556355,70.964711,2017
T1483,South,5G,20.118779,84.08746,2022
T1484,North,4G,10.419709,84.072374,2025
T1485,Central,5G,31.320391,68.357878,2022
T1486,West,4G,27.570784,84.22656,2019
T1487,Central,4G,26.503532,72.915551,2020
T1488,East,5G,21.314346,69.834747,2022
T1489,East,5G,16.093311,90.697332,2021
T1490,East,4G,27.464285,82.378271,2025
T1491,South,5G,10.888254,76.835082,2022
T1492,East,5G,29.710064,77.55671,2021
T1493,West,4G,16.111753,85.493127,2019
T1494,West,5G,12.796206,79.548948,2021
T1495,East,5G,34.129603,90.677257,2021
T1496,West,5G,30.045352,79.395119,2017
T1497,Central,4G,23.99013,83.823243,2024
T1498,North,5G,33.460323,74.079803,2020
T1499,North,5G,26.170397,72.036195,2020
