fault_id,tower_id,timestamp,fault_type,severity,duration_minutes,resolved
F00069,T1353,2026-01-03 12:00:00,Configuration Error,Critical,49,True
F00070,T1059,2026-01-15 12:00:00,Hardware Failure,Medium,66,True
F00071,T1132,2026-01-06 12:00:00,Hardware Failure,High,149,True
F00072,T1472,2026-01-08 00:00:00,Hardware Failure,High,77,True
F00073,T1337,2026-01-16 12:00:00,Backhaul Failure,High,84,True
F00074,T1306,2026-01-18 18:00:00,Network Congestion,Low,69,True
F00075,T1401,2026-01-11 12:00:00,Hardware Failure,Medium,26,True
F00076,T1273,2026-01-29 00:00:00,Network Congestion,Low,158,True
F00077,T1337,2026-01-13 00:00:00,Backhaul Failure,High,76,True
F00078,T1382,2026-01-11 00:00:00,Radio Degradation,Medium,5,True
F00079,T1385,2026-01-19 12:00:00,Configuration Error,Medium,63,True
F00080,T1404,2026-01-16 06:00:00,Configuration Error,High,20,True
F00081,T1037,2026-01-05 00:00:00,Backhaul Failure,Low,85,True
F00082,T1359,2026-01-27 00:00:00,Power Issue,Low,246,True
F00083,T1495,2026-01-24 12:00:00,Hardware Failure,Low,32,False
F00084,T1200,2026-01-16 00:00:00,Network Congestion,Medium,42,True
F00085,T1288,2026-01-29 18:00:00,Configuration Error,High,13,True
F00086,T1354,2026-01-03 00:00:00,Radio Degradation,Low,29,True
F00087,T1105,2026-01-19 00:00:00,Backhaul Failure,Medium,82,True
F00088,T1385,2026-01-09 12:00:00,Backhaul Failure,Medium,53,True
F00089,T1356,2026-01-15 12:00:00,Network Congestion,Low,109,True
F00090,T1304,2026-01-04 06:00:00,Hardware Failure,Low,91,True
F00091,T1237,2026-01-04 12:00:00,Network Congestion,Medium,19,True
F00092,T1214,2026-01-03 06:00:00,Configuration Error,Low,15,True
F00093,T1005,2026-01-02 06:00:00,Power Issue,Low,6,True
F00094,T1193,2026-01-13 00:00:00,Configuration Error,Low,8,True
F00095,T1129,2026-01-01 18:00:00,Backhaul Failure,Medium,37,True
F00096,T1259,2026-01-15 00:00:00,Network Congestion,Low,6,True
F00097,T1220,2026-01-05 06:00:00,Backhaul Failure,Low,24,True
F00098,T1012,2026-01-03 12:00:00,Hardware Failure,Low,18,True
F00099,T1012,2026-01-15 06:00:00,Hardware Failure,High,292,True
F00100,T1471,2026-01-04 00:00:00,Backhaul Failure,Low,19,False
F00101,T1072,2026-01-27 18:00:00,Backhaul Failure,Low,63,True
F00102,T1129,2026-01-12 06:00:00,Network Congestion,Low,49,True
F00103,T1347,2026-01-02 06:00:00,Configuration Error,Low,5,True
F00104,T1330,2026-01-16 00:00:00,Hardware Failure,Low,22,True
F00105,T1256,2026-01-21 06:00:00,Configuration Error,Critical,22,True
F00106,T1247,2026-01-13 12:00:00,Backhaul Failure,Medium,91,True
F00107,T1205,2026-01-17 12:00:00,Backhaul Failure,Low,22,True
F00108,T1127,2026-01-08 00:00:00,Power Issue,Low,5,False
F00109,T1353,2026-01-12 06:00:00,Network Congestion,Low,24,True
F00110,T1415,2026-01-18 00:00:00,Network Congestion,Medium,62,False
F00111,T1184,2026-01-12 06:00:00,Network Congestion,Low,117,True
F00112,T1495,2026-01-23 12:00:00,Radio Degradation,Low,42,True
F00113,T1205,2026-01-19 06:00:00,Radio Degradation,High,34,True
F00114,T1059,2026-01-18 12:00:00,Network Congestion,Medium,5,True
F00115,T1288,2026-01-20 06:00:00,Hardware Failure,Medium,5,True
F00116,T1298,2026-01-07 06:00:00,Power Issue,Medium,10,False
F00117,T1278,2026-01-02 00:00:00,Network Congestion,Medium,90,False
F00118,T1472,2026-01-28 12:00:00,Hardware Failure,Low,224,False
F00119,T1053,2026-01-19 00:00:00,Power Issue,Low,101,True
F00120,T1425,2026-01-24 18:00:00,Configuration Error,Critical,115,True
F00121,T1129,2026-01-23 12:00:00,Network Congestion,Medium,26,True
F00122,T1243,2026-01-10 12:00:00,Network Congestion,Low,74,True
F00123,T1458,2026-01-19 18:00:00,Radio Degradation,Low,10,True
F00124,T1298,2026-01-08 00:00:00,Backhaul Failure,Low,7,True
F00125,T1326,2026-01-12 12:00:00,Network Congestion,Medium,65,False
F00126,T1393,2026-01-22 12:00:00,Backhaul Failure,Low,65,True
F00127,T1113,2026-01-03 12:00:00,Power Issue,High,16,True
F00128,T1224,2026-01-13 18:00:00,Configuration Error,Medium,5,True
F00129,T1237,2026-01-16 18:00:00,Power Issue,Medium,132,True
F00130,T1175,2026-01-26 06:00:00,Network Congestion,Medium,92,True
F00131,T1306,2026-01-10 00:00:00,Power Issue,Low,107,True
F00132,T1078,2026-01-06 18:00:00,Network Congestion,Medium,11,True
F00133,T1395,2026-01-11 18:00:00,Configuration Error,Low,18,False
F00134,T1123,2026-01-20 18:00:00,Network Congestion,Low,55,True
F00135,T1169,2026-01-14 12:00:00,Configuration Error,Low,19,True
F00136,T1224,2026-01-13 18:00:00,Network Congestion,Low,5,True
F00137,T1395,2026-01-10 18:00:00,Network Congestion,Low,79,True
F00138,T1359,2026-01-10 00:00:00,Backhaul Failure,High,62,True
F00139,T1053,2026-01-16 18:00:00,Configuration Error,Low,5,True
F00140,T1184,2026-01-06 12:00:00,Backhaul Failure,Low,253,True
F00141,T1261,2026-01-15 18:00:00,Power Issue,Low,141,True
F00142,T1229,2026-01-05 00:00:00,Hardware Failure,Medium,244,True
F00143,T1237,2026-01-25 06:00:00,Radio Degradation,Low,32,True
F00144,T1294,2026-01-14 18:00:00,Radio Degradation,High,5,True
F00145,T1445,2026-01-13 00:00:00,Radio Degradation,Medium,169,True
F00146,T1245,2026-01-22 06:00:00,Hardware Failure,High,28,True
F00147,T1123,2026-01-07 06:00:00,Network Congestion,Low,89,True
F00148,T1346,2026-01-14 06:00:00,Configuration Error,Low,18,True
F00149,T1356,2026-01-30 00:00:00,Hardware Failure,Low,36,True
F00150,T1278,2026-01-28 12:00:00,Radio Degradation,Medium,53,True
F00151,T1458,2026-01-20 18:00:00,Hardware Failure,Medium,16,True
F00152,T1404,2026-01-19 00:00:00,Hardware Failure,Medium,14,True
F00153,T1054,2026-01-28 12:00:00,Backhaul Failure,Low,53,True
F00154,T1245,2026-01-20 18:00:00,Hardware Failure,Low,7,True
F00155,T1313,2026-01-20 18:00:00,Hardware Failure,Low,21,True
F00156,T1113,2026-01-08 00:00:00,Configuration Error,Medium,46,True
F00157,T1132,2026-01-01 12:00:00,Power Issue,Low,52,True
F00158,T1458,2026-01-22 00:00:00,Network Congestion,Low,93,False
F00159,T1018,2026-01-25 12:00:00,Power Issue,Medium,86,True
F00160,T1395,2026-01-07 18:00:00,Network Congestion,High,200,True
F00161,T1265,2026-01-25 12:00:00,Hardware Failure,Medium,69,True
F00162,T1382,2026-01-23 18:00:00,Network Congestion,High,16,True
F00163,T1205,2026-01-01 06:00:00,Network Congestion,High,7,True
F00164,T1229,2026-01-08 00:00:00,Backhaul Failure,Low,32,True
F00165,T1256,2026-01-09 12:00:00,Backhaul Failure,Medium,13,True
F00166,T1214,2026-01-22 00:00:00,Network Congestion,Low,6,True
F00167,T1129,2026-01-28 18:00:00,Radio Degradation,Medium,8,True
F00168,T1261,2026-01-24 00:00:00,Power Issue,Low,154,True
F00169,T1245,2026-01-25 06:00:00,Network Congestion,Medium,25,True
F00170,T1415,2026-01-21 18:00:00,Radio Degradation,Low,41,True
F00171,T1346,2026-01-01 18:00:00,Network Congestion,Medium,58,True
F00172,T1336,2026-01-08 12:00:00,Radio Degradation,High,120,True
F00173,T1393,2026-01-21 12:00:00,Backhaul Failure,High,16,True
F00174,T1266,2026-01-09 06:00:00,Backhaul Failure,Low,51,True
F00175,T1313,2026-01-13 00:00:00,Hardware Failure,Medium,98,True
F00176,T1132,2026-01-18 12:00:00,Power Issue,Medium,132,True
F00177,T1078,2026-01-09 12:00:00,Power Issue,Low,20,True
F00178,T1178,2026-01-10 06:00:00,Network Congestion,Medium,11,True
F00179,T1229,2026-01-26 18:00:00,Configuration Error,Low,5,True
F00180,T1297,2026-01-21 18:00:00,Power Issue,Low,29,True
F00181,T1184,2026-01-24 00:00:00,Radio Degradation,Medium,5,True
F00182,T1169,2026-01-11 06:00:00,Configuration Error,Medium,136,True
F00183,T1055,2026-01-12 12:00:00,Network Congestion,High,5,True
F00184,T1159,2026-01-10 00:00:00,Backhaul Failure,Low,33,True
F00185,T1481,2026-01-25 06:00:00,Configuration Error,High,79,True
F00186,T1220,2026-01-12 06:00:00,Configuration Error,High,6,True
F00187,T1471,2026-01-12 12:00:00,Radio Degradation,Low,189,True
F00188,T1228,2026-01-02 00:00:00,Backhaul Failure,High,16,True
F00189,T1346,2026-01-13 12:00:00,Backhaul Failure,Low,32,True
F00190,T1085,2026-01-07 12:00:00,Backhaul Failure,Critical,306,True
F00191,T1266,2026-01-05 12:00:00,Configuration Error,Low,125,True
F00192,T1471,2026-01-21 06:00:00,Power Issue,Medium,42,True
F00193,T1352,2026-01-07 06:00:00,Radio Degradation,High,13,True
F00194,T1212,2026-01-25 00:00:00,Network Congestion,Medium,30,True
F00195,T1274,2026-01-14 18:00:00,Backhaul Failure,Low,122,True
F00196,T1050,2026-01-12 00:00:00,Power Issue,High,39,True
F00197,T1247,2026-01-22 00:00:00,Configuration Error,Medium,39,True
F00198,T1492,2026-01-10 06:00:00,Hardware Failure,Low,42,True
F00199,T1123,2026-01-03 00:00:00,Power Issue,High,58,True
F00200,T1294,2026-01-20 12:00:00,Backhaul Failure,High,25,False
F00201,T1078,2026-01-29 18:00:00,Power Issue,High,30,True
F00202,T1274,2026-01-01 06:00:00,Network Congestion,Medium,91,True
F00203,T1050,2026-01-01 06:00:00,Hardware Failure,Low,13,True
F00204,T1306,2026-01-13 12:00:00,Radio Degradation,Medium,283,True
F00205,T1224,2026-01-22 00:00:00,Configuration Error,High,53,True
F00206,T1472,2026-01-14 18:00:00,Backhaul Failure,Low,5,True
F00207,T1458,2026-01-05 06:00:00,Configuration Error,Medium,14,True
F00208,T1200,2026-01-22 00:00:00,Configuration Error,Medium,6,True
F00209,T1458,2026-01-05 18:00:00,Hardware Failure,Medium,18,True
F00210,T1054,2026-01-04 00:00:00,Backhaul Failure,Low,7,True
F00211,T1261,2026-01-27 06:00:00,Power Issue,Medium,99,True
F00212,T1337,2026-01-18 18:00:00,Network Congestion,Medium,15,True
F00213,T1326,2026-01-01 00:00:00,Configuration Error,Low,28,True
F00214,T1245,2026-01-22 18:00:00,Network Congestion,High,5,True
F00215,T1105,2026-01-24 00:00:00,Power Issue,Medium,93,True
F00216,T1385,2026-01-09 18:00:00,Hardware Failure,Low,9,True
F00217,T1337,2026-01-28 12:00:00,Power Issue,High,14,True
F00218,T1495,2026-01-04 00:00:00,Hardware Failure,Low,200,True
F00219,T1012,2026-01-06 12:00:00,Power Issue,High,92,False
F00220,T1415,2026-01-29 00:00:00,Power Issue,High,26,True
F00221,T1274,2026-01-13 18:00:00,Power Issue,High,7,True
F00222,T1175,2026-01-26 18:00:00,Configuration Error,High,82,True
F00223,T1468,2026-01-23 00:00:00,Network Congestion,Low,15,False
F00224,T1175,2026-01-26 18:00:00,Network Congestion,Medium,130,True
F00225,T1298,2026-01-01 06:00:00,Backhaul Failure,High,27,True
F00226,T1237,2026-01-15 00:00:00,Hardware Failure,Low,77,True
F00227,T1393,2026-01-28 06:00:00,Configuration Error,High,18,True
F00228,T1113,2026-01-23 00:00:00,Backhaul Failure,Medium,73,True
F00229,T1492,2026-01-22 18:00:00,Network Congestion,High,43,True
F00230,T1298,2026-01-02 00:00:00,Configuration Error,High,11,True
F00231,T1228,2026-01-28 18:00:00,Network Congestion,Low,148,True
F00232,T1326,2026-01-11 12:00:00,Hardware Failure,Medium,11,True
F00233,T1243,2026-01-13 06:00:00,Hardware Failure,Medium,21,True
F00234,T1043,2026-01-03 18:00:00,Backhaul Failure,Low,43,False
F00235,T1354,2026-01-21 00:00:00,Hardware Failure,Medium,85,True
F00236,T1330,2026-01-01 00:00:00,Radio Degradation,Critical,26,True
F00237,T1233,2026-01-18 06:00:00,Configuration Error,Medium,26,False
F00238,T1373,2026-01-27 00:00:00,Network Congestion,High,5,True
F00239,T1313,2026-01-20 18:00:00,Configuration Error,Medium,26,True
F00240,T1472,2026-01-04 06:00:00,Hardware Failure,Low,88,True
F00241,T1385,2026-01-18 12:00:00,Configuration Error,Low,5,True
F00242,T1059,2026-01-05 18:00:00,Hardware Failure,Low,40,True
F00243,T1214,2026-01-30 18:00:00,Network Congestion,Medium,70,True
F00244,T1204,2026-01-11 00:00:00,Backhaul Failure,Low,33,True
F00245,T1273,2026-01-19 00:00:00,Backhaul Failure,Medium,32,True
F00246,T1366,2026-01-05 18:00:00,Hardware Failure,Medium,18,True
F00247,T1072,2026-01-27 18:00:00,Radio Degradation,High,32,False
F00248,T1113,2026-01-19 06:00:00,Configuration Error,High,35,True
F00249,T1340,2026-01-20 12:00:00,Radio Degradation,High,130,True
F00250,T1005,2026-01-30 06:00:00,Power Issue,Low,42,True
F00251,T1385,2026-01-15 06:00:00,Network Congestion,Medium,346,True
F00252,T1354,2026-01-17 12:00:00,Configuration Error,Medium,24,True
F00253,T1495,2026-01-30 06:00:00,Network Congestion,Low,27,True
F00254,T1346,2026-01-12 06:00:00,Configuration Error,Medium,21,False
F00255,T1366,2026-01-18 12:00:00,Configuration Error,Low,29,True
F00256,T1175,2026-01-19 18:00:00,Configuration Error,Medium,5,True
F00257,T1054,2026-01-29 18:00:00,Hardware Failure,Medium,13,True
F00258,T1285,2026-01-02 00:00:00,Network Congestion,Low,5,True
F00259,T1054,2026-01-22 12:00:00,Network Congestion,High,5,True
F00260,T1385,2026-01-07 00:00:00,Power Issue,High,162,True
F00261,T1273,2026-01-24 06:00:00,Configuration Error,Medium,5,True
F00262,T1233,2026-01-26 12:00:00,Configuration Error,Medium,42,False
F00263,T1184,2026-01-14 12:00:00,Radio Degradation,Low,32,True
F00264,T1256,2026-01-20 18:00:00,Network Congestion,High,16,True
F00265,T1012,2026-01-12 06:00:00,Configuration Error,Critical,68,True
F00266,T1129,2026-01-22 00:00:00,Network Congestion,Critical,125,True
F00267,T1214,2026-01-13 00:00:00,Backhaul Failure,Low,12,True
F00268,T1425,2026-01-19 12:00:00,Hardware Failure,Low,6,True
F00269,T1347,2026-01-02 06:00:00,Power Issue,Medium,99,True
F00270,T1301,2026-01-20 12:00:00,Backhaul Failure,High,30,True
F00271,T1105,2026-01-26 12:00:00,Radio Degradation,Low,128,True
F00272,T1331,2026-01-26 06:00:00,Backhaul Failure,Medium,17,True
F00273,T1492,2026-01-08 06:00:00,Configuration Error,Low,5,True
F00274,T1151,2026-01-25 18:00:00,Radio Degradation,High,15,False
F00275,T1336,2026-01-04 12:00:00,Backhaul Failure,Low,20,True
F00276,T1313,2026-01-08 00:00:00,Configuration Error,High,34,True
F00277,T1472,2026-01-13 12:00:00,Radio Degradation,Medium,75,True
F00278,T1294,2026-01-27 12:00:00,Radio Degradation,High,5,True
F00279,T1337,2026-01-10 06:00:00,Power Issue,Medium,259,False
F00280,T1123,2026-01-25 00:00:00,Configuration Error,Low,30,True
F00281,T1151,2026-01-28 18:00:00,Hardware Failure,Low,5,True
F00282,T1495,2026-01-25 18:00:00,Configuration Error,High,65,True
F00283,T1346,2026-01-05 00:00:00,Backhaul Failure,Medium,84,True
F00284,T1105,2026-01-02 06:00:00,Power Issue,Medium,34,True
F00285,T1288,2026-01-30 12:00:00,Backhaul Failure,Low,97,True
F00286,T1072,2026-01-11 00:00:00,Backhaul Failure,Medium,29,True
F00287,T1012,2026-01-24 00:00:00,Configuration Error,Medium,14,True
F00288,T1105,2026-01-12 00:00:00,Power Issue,High,15,True
F00289,T1395,2026-01-10 18:00:00,Backhaul Failure,Low,19,True
F00290,T1228,2026-01-06 06:00:00,Network Congestion,Medium,5,True
F00291,T1191,2026-01-10 06:00:00,Power Issue,Medium,6,False
F00292,T1050,2026-01-21 12:00:00,Hardware Failure,Medium,17,True
F00293,T1214,2026-01-02 00:00:00,Radio Degradation,Medium,45,True
F00294,T1445,2026-01-10 06:00:00,Configuration Error,Medium,50,True
F00295,T1151,2026-01-14 06:00:00,Network Congestion,Low,188,True
F00296,T1022,2026-01-07 00:00:00,Network Congestion,Medium,32,True
F00297,T1224,2026-01-28 18:00:00,Configuration Error,Medium,38,True
F00298,T1331,2026-01-09 00:00:00,Network Congestion,Medium,58,True
F00299,T1471,2026-01-12 06:00:00,Configuration Error,Medium,59,True
F00300,T1313,2026-01-03 06:00:00,Power Issue,Medium,5,True
F00301,T1340,2026-01-10 06:00:00,Radio Degradation,Medium,282,True
F00302,T1407,2026-01-06 00:00:00,Power Issue,Low,27,True
F00303,T1495,2026-01-21 18:00:00,Power Issue,High,10,True
F00304,T1050,2026-01-11 18:00:00,Backhaul Failure,Medium,27,True
F00305,T1265,2026-01-18 00:00:00,Network Congestion,Medium,17,True
F00306,T1352,2026-01-28 06:00:00,Radio Degradation,Low,44,True
F00307,T1301,2026-01-03 00:00:00,Hardware Failure,High,14,True
F00308,T1304,2026-01-19 18:00:00,Radio Degradation,Low,100,True
F00309,T1261,2026-01-18 18:00:00,Configuration Error,High,93,True
F00310,T1220,2026-01-29 12:00:00,Network Congestion,Medium,34,True
F00311,T1053,2026-01-12 00:00:00,Configuration Error,Low,41,False
F00312,T1298,2026-01-22 06:00:00,Radio Degradation,Low,28,True
F00313,T1205,2026-01-19 06:00:00,Configuration Error,Medium,213,False
F00314,T1337,2026-01-08 18:00:00,Network Congestion,Low,17,True
F00315,T1337,2026-01-22 06:00:00,Radio Degradation,High,6,True
F00316,T1228,2026-01-30 18:00:00,Hardware Failure,Low,123,True
F00317,T1216,2026-01-23 12:00:00,Configuration Error,Low,49,True
F00318,T1129,2026-01-13 18:00:00,Power Issue,Medium,19,True
F00319,T1105,2026-01-17 12:00:00,Backhaul Failure,Critical,5,True
F00320,T1274,2026-01-12 12:00:00,Backhaul Failure,High,11,True
F00321,T1176,2026-01-17 06:00:00,Backhaul Failure,Low,5,True
F00322,T1012,2026-01-09 06:00:00,Network Congestion,Low,6,True
F00323,T1204,2026-01-27 00:00:00,Configuration Error,Low,35,True
F00324,T1401,2026-01-04 18:00:00,Configuration Error,Medium,187,True
F00325,T1425,2026-01-21 18:00:00,Hardware Failure,Low,91,True
F00326,T1404,2026-01-06 06:00:00,Configuration Error,Medium,37,True
F00327,T1285,2026-01-02 06:00:00,Power Issue,High,11,True
F00328,T1274,2026-01-20 00:00:00,Configuration Error,Medium,18,True
F00329,T1445,2026-01-07 18:00:00,Radio Degradation,Critical,12,True
F00330,T1123,2026-01-08 18:00:00,Radio Degradation,Low,21,True
F00331,T1159,2026-01-20 12:00:00,Network Congestion,Medium,21,True
F00332,T1266,2026-01-20 00:00:00,Network Congestion,Low,58,True
F00333,T1247,2026-01-07 18:00:00,Network Congestion,Medium,262,True
F00334,T1298,2026-01-20 00:00:00,Radio Degradation,Medium,25,True
F00335,T1175,2026-01-22 06:00:00,Radio Degradation,Medium,78,True
F00336,T1273,2026-01-21 18:00:00,Radio Degradation,Medium,101,True
F00337,T1458,2026-01-17 18:00:00,Network Congestion,High,93,True
F00338,T1243,2026-01-12 00:00:00,Backhaul Failure,Low,32,True
F00339,T1288,2026-01-30 00:00:00,Power Issue,Medium,148,True
F00340,T1022,2026-01-07 00:00:00,Configuration Error,Medium,21,True
F00341,T1294,2026-01-04 00:00:00,Backhaul Failure,Medium,17,True
F00342,T1356,2026-01-14 12:00:00,Hardware Failure,Low,23,True
F00343,T1022,2026-01-09 18:00:00,Radio Degradation,Low,64,True
F00344,T1346,2026-01-13 06:00:00,Backhaul Failure,Medium,17,True
F00345,T1129,2026-01-12 18:00:00,Power Issue,Critical,31,True
F00346,T1393,2026-01-13 06:00:00,Configuration Error,Low,54,True
F00347,T1458,2026-01-06 00:00:00,Network Congestion,Medium,145,True
F00348,T1330,2026-01-20 00:00:00,Network Congestion,Low,40,True
F00349,T1395,2026-01-27 06:00:00,Backhaul Failure,High,77,True
F00350,T1331,2026-01-09 06:00:00,Power Issue,Low,13,True
F00351,T1184,2026-01-30 18:00:00,Radio Degradation,Medium,11,True
F00352,T1127,2026-01-02 06:00:00,Configuration Error,Medium,26,True
F00353,T1340,2026-01-30 12:00:00,Network Congestion,Low,5,True
F00354,T1294,2026-01-23 06:00:00,Radio Degradation,Low,115,True
F00355,T1326,2026-01-21 00:00:00,Network Congestion,Low,11,True
F00356,T1274,2026-01-12 18:00:00,Backhaul Failure,Medium,14,True
F00357,T1495,2026-01-23 00:00:00,Hardware Failure,Medium,12,True
F00358,T1481,2026-01-30 12:00:00,Power Issue,Critical,16,True
F00359,T1005,2026-01-07 18:00:00,Backhaul Failure,Medium,50,True
F00360,T1237,2026-01-17 00:00:00,Radio Degradation,Low,31,True
F00361,T1472,2026-01-26 12:00:00,Radio Degradation,High,5,True
F00362,T1113,2026-01-15 18:00:00,Radio Degradation,Medium,70,True
F00363,T1078,2026-01-25 18:00:00,Configuration Error,Medium,56,True
F00364,T1297,2026-01-16 00:00:00,Power Issue,Low,13,True
F00365,T1220,2026-01-22 06:00:00,Power Issue,Medium,16,True
F00366,T1049,2026-01-01 12:00:00,Network Congestion,Low,26,True
F00367,T1354,2026-01-27 12:00:00,Hardware Failure,Medium,109,True
F00368,T1356,2026-01-12 06:00:00,Radio Degradation,Low,31,False
F00369,T1346,2026-01-30 06:00:00,Backhaul Failure,Medium,118,True
F00370,T1326,2026-01-28 12:00:00,Network Congestion,Low,29,True
F00371,T1313,2026-01-12 06:00:00,Hardware Failure,Low,5,True
F00372,T1340,2026-01-16 00:00:00,Radio Degradation,Critical,40,True
F00373,T1132,2026-01-20 12:00:00,Backhaul Failure,High,10,True
F00374,T1245,2026-01-28 12:00:00,Backhaul Failure,Low,23,True
F00375,T1233,2026-01-09 18:00:00,Network Congestion,High,96,True
F00376,T1353,2026-01-26 18:00:00,Backhaul Failure,High,5,True
F00377,T1492,2026-01-13 06:00:00,Backhaul Failure,Critical,5,True
F00378,T1266,2026-01-11 00:00:00,Hardware Failure,Medium,5,True
F00379,T1259,2026-01-11 12:00:00,Radio Degradation,High,9,True
F00380,T1261,2026-01-08 12:00:00,Backhaul Failure,Critical,41,True
F00381,T1159,2026-01-16 18:00:00,Network Congestion,Medium,29,True
F00382,T1373,2026-01-28 18:00:00,Power Issue,Medium,238,True
F00383,T1245,2026-01-22 06:00:00,Hardware Failure,Medium,48,True
F00384,T1481,2026-01-14 18:00:00,Network Congestion,Low,58,False
F00385,T1347,2026-01-16 00:00:00,Network Congestion,Medium,161,True
F00386,T1301,2026-01-17 12:00:00,Backhaul Failure,Low,22,True
F00387,T1205,2026-01-02 18:00:00,Hardware Failure,Medium,78,True
F00388,T1022,2026-01-16 00:00:00,Backhaul Failure,Medium,171,True
F00389,T1373,2026-01-18 12:00:00,Power Issue,Low,60,True
F00390,T1273,2026-01-20 06:00:00,Radio Degradation,Medium,18,True
